"cid","cowner","cname","ctype","cnumeric","crequired","cinsdisplaytype","cinsdisplaydata","cinsdisplayinclude","cinsdefaultvalue","cupddisplaytype","cupddisplaydata","cupddisplayinclude","cbackendlist","cdescription","csection"
"core_groups.id","SYSTEM","Identifier","text","150","1","TEXTBOX-REG","","","","DISPLAY-REG","","","1","Unique Group ID.","User Group"
"core_groups.interface","SYSTEM","Interface Type","text","150","0","SELECT-CUSTOM","generic.interface","","","SELECT-CUSTOM","generic.interface","","0","The interface that the group belongs to.  Management interface users are allowed to access both the FrontEnd and management interfaces.","User Group"
"core_groups.lockalert","SYSTEM","Account Lock Alert Status","integer","1","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","Select true (1) to send an Account Locked mail message to users belonging to this group when their accounts are locked due to too many failed login attempts.  Default for BackEnd interface groups: true (1); Default for FrontEnd interface groups: false (0)","Security"
"core_groups.name","SYSTEM","Group Display Name","text","150","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","Administrator group display name.","User Group"
"core_groups.secexpirepass","SYSTEM","Password Expiration","text","10","1","SELECT-CUSTOM","core.sectimeframedays","","0","SELECT-CUSTOM","core.sectimeframedays","","0","Users belonging to this group can be required to change their passwords on a regular basis.  Either disable this feature, or select the number of days passwords remain valid before they expire and must be changed.  Default for BackEnd interface groups: 90 Days; Default for FrontEnd interface groups: Disabled","Security"
"core_groups.seclockout","SYSTEM","Account Lockout Protection","text","10","1","SELECT-CUSTOM","core.seccount","","0","SELECT-CUSTOM","core.seccount","","0","Users belonging to this group can be subject to account lockout if a maximum number of failed login attempts is reached.  Either disable this feature, or select the maximum number of failed login attempts before account lockout.  If enabled, account lockout is for 15 minutes.  Default for BackEnd interface groups: 3; Default for FrontEnd interface groups: Disabled","Security"
"core_groups.secrepeatpass","SYSTEM","Repeat Password Protection","text","10","1","SELECT-CUSTOM","core.seccount","","0","SELECT-CUSTOM","core.seccount","","0","Users belonging to this group can be subject to repeat password protection.  Either disable this feature, or select the number of prior passwords to store to be used to prevent repeat password usage.  Default for BackEnd interface groups: 4; Default for FrontEnd interface groups: Disabled","Security"
"core_groups.secstrongpass","SYSTEM","Strong Password Protection","integer","1","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","Select true (1) to require strong passwords for users belonging to this group.  Select false (0) to disable this feature for this user group.  If activated, users belonging to this group will be required to use strong passwords.  Default for BackEnd interface groups: true (1); Default for FrontEnd interface groups: false (0)","Security"
"core_guests.acctsysalt","SYSTEM","Accounting System Identifier Alternate","text","200","0","HIDDEN-REG","","","","HIDDEN-REG","","","0","","Hidden"
"core_guests.acctsysaltmod","SYSTEM","Accounting System Modification Flag Alternate","integer","1","1","HIDDEN-REG","","","0","HIDDEN-REG","","","0","","Hidden"
"core_guests.acctsyspri","SYSTEM","Accounting System Identifier Primary","text","200","0","HIDDEN-REG","","","","HIDDEN-REG","","","0","","Hidden"
"core_guests.acctsysprimod","SYSTEM","Accounting System Modification Flag Primary","integer","1","1","HIDDEN-REG","","","0","HIDDEN-REG","","","0","","Hidden"
"core_guests.addone","SYSTEM","Address Line 1","text","150","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","First line of address.","Billing Address"
"core_guests.addtwo","SYSTEM","Address Line 2","text","150","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Second line of address.","Billing Address"
"core_guests.city","SYSTEM","City","text","150","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","City name.","Billing Address"
"core_guests.company","SYSTEM","Company","text","250","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","User company.","Contact Information"
"core_guests.country","SYSTEM","Country","text","200","1","SELECT-TABLE","SELECT {COLS} FROM core_country WHERE usecon='1'","","","SELECT-TABLE","SELECT {COLS} FROM core_country WHERE usecon='1'","","0","Country name.","Billing Address"
"core_guests.fname","SYSTEM","First Name","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","User first name.","Contact Information"
"core_guests.id","SYSTEM","Email Address","text","150","1","TEXTBOX-REG","","","","DISPLAY-REG","","","1","Unique User ID.","Guest Account"
"core_guests.lname","SYSTEM","Last Name","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","User last name.","Contact Information"
"core_guests.phone","SYSTEM","Telephone Number","text","20","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Telephone number including the area code.","Contact Information"
"core_guests.postalcode","SYSTEM","Zip/Postal Code","text","20","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Zip/postal code.","Billing Address"
"core_guests.rescom","SYSTEM","Residential/Commercial Status","text","5","1","SELECT-TABLE","SELECT {COLS} FROM core_rescom","","R","SELECT-TABLE","SELECT {COLS} FROM core_rescom","","0","Address residential (R) or commercial (C) status.","Billing Address"
"core_guests.stateprov","SYSTEM","State/Province","text","200","1","SELECT-TABLE","SELECT {COLS} FROM core_stateprov WHERE usecon='1'","","","SELECT-TABLE","SELECT {COLS} FROM core_stateprov WHERE usecon='1'","","0","State/Province name.","Billing Address"
"core_mail.addlbcc","SYSTEM","Additional Message Recipients (BCC)","text","250","0","","","","","TEXTBOX-REG","","","0","Enter a comma delimited list of recipients to be added to the BCC message header.","Sender and Recipients"
"core_mail.addlcc","SYSTEM","Additional Message Recipients (CC)","text","250","0","","","","","TEXTBOX-REG","","","0","Enter a comma delimited list of recipients to be added to the CC message header.","Sender and Recipients"
"core_mail.addlto","SYSTEM","Additional Message Recipients (TO)","text","250","0","","","","","TEXTBOX-REG","","","0","Enter a comma delimited list of recipients to be added to the TO message header.","Sender and Recipients"
"core_mail.app","SYSTEM","Component","text","150","1","","","","","DISPLAY-APP","","","1","The component with which this mail message is associated.","Mail Message"
"core_mail.appendsubject","SYSTEM","Subject Append String","text","250","0","","","","","TEXTBOX-REG","","","0","This string is appended to the mail message subject if specified. (Added to the end of the subject).","Message Subject Options"
"core_mail.defaultsender","SYSTEM","Default Message Sender (FROM)","text","250","1","","","","","TEXTBOX-REG","","","0","If a sender is not specified by the calling component, this sender is used as a default rather than producing an error.","Sender and Recipients"
"core_mail.defaultsubject","SYSTEM","Default Subject","text","250","1","","","","","TEXTBOX-REG","","","0","If a subject is not specified by the calling component, this subject is used as a default rather than producing an error.","Mail Message"
"core_mail.defaultto","SYSTEM","Default Message Recipient (TO)","text","250","1","","","","","TEXTBOX-REG","","","0","If a recipient is not specified by the calling component, this recipient is used as a default rather than producing an error.","Sender and Recipients"
"core_mail.id","SYSTEM","Identifier","text","150","1","","","","","HIDDEN-REG","","","0","","Hidden"
"core_mail.interface","SYSTEM","Interface","clob","","0","","","","","HIDDEN-REG","","","0","","Hidden"
"core_mail.name","SYSTEM","Display Name","text","150","1","","","","","TEXTBOX-REG","","","1","The display name for this mail message.","Mail Message"
"core_mail.prependsubject","SYSTEM","Subject Prepend String","text","250","0","","","","","TEXTBOX-REG","","","0","This string is prepended to the mail message subject if specified. (Added to the beginning of the subject).","Message Subject Options"
"core_mail.textincid","SYSTEM","Text Message","clob","","1","","","","","TEXTAREA-REG","","","0","Enter the text content for this message below.  This message content can contain PHP code.  If you choose to use PHP code in the message content, base your PHP code on the includes used by this software.","Mail Message"
"core_mail.usexhtml","SYSTEM","Send XHTML Message (In Addition to Text)","integer","1","1","","","","","SELECT-BOOL","","","1","Indicator used to control whether an XHTML message will be sent in addition to a text message for this mail message.","XHTML Message"
"core_mail.xhtmlincid","SYSTEM","XHTML Message Include","clob","","0","","","","","TEXTAREA-REG","","","0","Enter the XHTML content for this mail message below.  If you choose to use PHP code in the message content, base your PHP code on the includes used by this software.","XHTML Message"
"core_messages.app","SYSTEM","Component","text","150","1","","","","","DISPLAY-APP","","","1","The component with which this message is associated.","Message"
"core_messages.id","SYSTEM","Identifier","text","150","1","","","","","HIDDEN-REG","","","0","","Hidden"
"core_messages.interface","SYSTEM","Interface","clob","","0","","","","","HIDDEN-REG","","","0","","Hidden"
"core_messages.msgtype","SYSTEM","Message Type","text","150","1","","","","","SELECT-CUSTOM","messages.type","","1","The message type.","Message"
"core_messages.stringdisp","SYSTEM","Message Text","clob","","1","","","","","TEXTAREA-SMALL","","","1","The actual text displayed for this message.","Message"
"core_messages.stringmsg","SYSTEM","Message Identifier","text","150","1","","","","","DISPLAY-REG","","","1","The message string is used to identify this message within the software.","Message"
"core_modules.app","SYSTEM","Component","text","150","0","","","","","","","","0","",""
"core_modules.class","SYSTEM","Base Class","text","150","0","","","","","","","","0","",""
"core_modules.description","SYSTEM","Component Description","clob","","0","","","","","","","","0","",""
"core_modules.id","SYSTEM","Identifier","text","150","1","","","","","","","","0","",""
"core_modules.name","SYSTEM","Module Name","text","150","1","","","","","","","","0","",""
"core_modules.type","SYSTEM","Module Type","text","150","0","","","","","","","","0","",""
"core_modules.version","SYSTEM","Version","text","10","1","","","","","","","","0","",""
"core_multisite.cookie_domain","SYSTEM","Cookie Domain","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","The cookie domain entered below should correspond to the URL on which this multisite will run. If you are installing this software on a webserver account for which a domain name has not yet been assigned or propagated, you should still enter the final domain below.  Example: The cookie domain for the URL 'https://yourdomain.com/store' would be entered as '.yourdomain.com'.  Notice the domain name is preceded by a period, and does not include anything after the TLD (.com).","URL and Cookies"
"core_multisite.cookie_path","SYSTEM","Cookie Path","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","The cookie path entered below should correspond to the URL on which this multisite will run. This path is preceded by a slash, but should not include a trailing slash. If this software is configured to interface with sofware installed elsewhere on this domain, enter '/' for the cookie path. Example: The cookie path for the URL 'https://yourdomain.com/store' would be entered as '/store'.  Notice the cookie path contains everything after the TLD (.com).","URL and Cookies"
"core_multisite.id","SYSTEM","Site ID","text","150","1","TEXTBOX-REG","","","","DISPLAY-REG","","","1","Unique site identifier.  Do not use spaces, periods or special characters.  Recommended characters are 0-9, a-z, A-Z and the underscore character.","MultiSite Site"
"core_multisite.matchhost","SYSTEM","Hostname","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter the Hostname, which must be unique.  This hostname is used to match sites using either the HTTP_HOST or HTTP_X_FORWARDED_HOST environment variables.  Example: yourdomain.com","MultiSite Site"
"core_multisite.name","SYSTEM","Name","text","150","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","This name is used to within the management interface to refer to this site.","MultiSite Site"
"core_multisite.overridemail","SYSTEM","Email Address Overrides","clob","","0","TEXTAREA-SCHEMA","find:Email Address:::1:TEXTBOX-REG:;replace:Replace With:::1:TEXTBOX-REG:","","","TEXTAREA-SCHEMA","find:Email Address:::1:TEXTBOX-REG:;replace:Replace With:::1:TEXTBOX-REG:","","0","Configure replacement of Default Site email addresses in mail messages with addresses specific to this site.  Be sure to enter a full email address in each field.","Email Address Overrides"
"core_multisite.overridesettings","SYSTEM","Settings Overrides","clob","","0","TEXTAREA-SCHEMA","id:Setting ID:::1:TEXTBOX-REG:;value:Setting Value:::0:TEXTBOX-REG:","","","TEXTAREA-SCHEMA","id:Setting ID:::1:TEXTBOX-REG:;value:Setting Value:::0:TEXTBOX-REG:","","0","Enter settings to override below.  These settings override the settings for the Default Site.  The setting id is the full setting identifer in the format 'component.settingid'.  Popular settings overrides include: core.siteownerphone, core.seo_googleacct","Settings Overrides"
"core_multisite.settings_core_defaultskin_frontend","SYSTEM","Active Skin: FrontEnd Interface","text","250","1","SELECT-TABLE","SELECT {COLS} FROM core_modules WHERE type='SKIN' AND id NOT LIKE 'skin.COREMI%' AND id<>'skin.MailMessage'","","skin.Flex","SELECT-TABLE","SELECT {COLS} FROM core_modules WHERE type='SKIN' AND id NOT LIKE 'skin.COREMI%' AND id<>'skin.MailMessage'","","0","This value overrides a default setting.  The default skin for the frontend interface.  This skin is used as a default for requests where a skin could not be defined.","Common Settings"
"core_multisite.settings_core_site_name","SYSTEM","Common Site Name","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This value overrides a default setting.  This is the common name to be used for your Internet site.  This common name is used throughout the software to display the name of your site.","Common Settings"
"core_multisite.settings_core_skins_maillogo","SYSTEM","MailMessage Skin: Logo","text","250","1","FILE-UPLOAD","{PUBLIC}/media/skins/logos","","mailmessagelogo.png","FILE-UPLOAD","{PUBLIC}/media/skins/logos","","0","This value overrides a default setting.  This is the logo presented at the top of the MailMessage skin. Do not exceed 760px in width, unless you have modified the MailMessage skin.","Common Settings"
"core_multisite.settings_core_skins_mainlogo","SYSTEM","Flex Skin: Logo","text","250","1","FILE-UPLOAD","{PUBLIC}/media/skins/logos","","desktoplogo.png","FILE-UPLOAD","{PUBLIC}/media/skins/logos","","0","This value overrides a default setting.  This is the logo presented at the top of the Flex skin.","Common Settings"
"core_multisite.settings_core_skins_printlogo","SYSTEM","Print Skin: Logo","text","250","1","FILE-UPLOAD","{PUBLIC}/media/skins/logos","","printlogo.png","FILE-UPLOAD","{PUBLIC}/media/skins/logos","","0","This value overrides a default setting.  This is the logo presented at the top of the Print skin. Do not exceed 550px in width, unless you have modified the Print skin.","Common Settings"
"core_multisite.settings_ecom_ordernumprefix","SYSTEM","eCommerce Order Number Prefix","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","This value overrides a default setting and is applicable to eCommerce software installations.  It must be unique.  If you have selected to use a prefixed Order Number Type, enter an order number prefix here.  This prefix will be appended to all order numbers and helps visually mark orders from various sites.","Common Settings"
"core_multisite.url","SYSTEM","URL","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","The URL entered below will be the main URL used by this multisite for all requests.  This URL should be prefixed with 'https://' or 'http://', and should be entered without a trailing slash.  Example: https://yourdomain.com/store","URL and Cookies"
"core_namespaces.active","SYSTEM","Active Status Indicator","integer","1","1","","","","","SELECT-BOOL","","","1","The active status for this namespace.  If you select to make this namespace active, all other namespaces that belong to the same region will become inactive.","Namespace"
"core_namespaces.app","SYSTEM","Component","text","150","1","","","","","DISPLAY-APP","","","1","This is the component to which this namespace belongs.","Namespace"
"core_namespaces.backendgroup","SYSTEM","Backend Interface Group","text","150","0","","","","","HIDDEN-REG","","","0","","Hidden"
"core_namespaces.backendmenudisp","SYSTEM","Backend Interface Menu Display Indicator","integer","1","1","","","","","HIDDEN-REG","","","0","","Hidden"
"core_namespaces.becommon","SYSTEM","Common Management Interface Namespace","integer","1","1","","","","","HIDDEN-REG","","","0","","Hidden"
"core_namespaces.demoallow","SYSTEM","Allowed In Demo Mode","integer","1","1","","","","","HIDDEN-REG","","","0","","Hidden"
"core_namespaces.disprecback","SYSTEM","Display Link In Recent/Back Nav","integer","1","1","","","","","HIDDEN-REG","","","0","","Hidden"
"core_namespaces.funcparams","SYSTEM","Function Parameter","text","150","0","","","","","HIDDEN-REG","","","0","","Hidden"
"core_namespaces.groupallow","SYSTEM","Allowed Groups","clob","","0","","","","","TEXTAREA-SMALL","","","1","This is a comma-delimited list of user groups that are allowed access to this namespace.  If all groups are allowed access to this namespace by default, enter an asterisk here.  Edit this field in conjunction with the Denied Groups field.  If you choose to allow access to this namespace for all user groups (enter an asterisk here), the Denied Groups field must be completed with a comma-delimited list of denied user groups (allow all but those denied) or must be left empty (everyone is allowed access to this namespace).","Permissions"
"core_namespaces.groupdeny","SYSTEM","Denied Groups","clob","","0","","","","","TEXTAREA-SMALL","","","1","This is a comma-delimited list of user groups that are denied access to this namespace.  If all groups are denied access to this namespace by default, enter an asterisk here.  Edit this field in conjunction with the Allowed Groups field.  If you choose to allow deny to this namespace for all user groups (enter an asterisk here), the Allowed Groups field must be completed with a comma-delimited list of allowed user groups (deny all but those allowed) or must be left empty (everyone is denied access to this namespace).","Permissions"
"core_namespaces.id","SYSTEM","Identifier","text","150","1","","","","","HIDDEN-REG","","","0","","Hidden"
"core_namespaces.interface","SYSTEM","Interface Type","text","150","0","","","","","HIDDEN-REG","","","0","","Hidden"
"core_namespaces.name","SYSTEM","Display Name","text","150","1","","","","","TEXTBOX-REG","","","1","The display name for this namespace.  This display name is used for page titles and statistical logging.","Namespace"
"core_namespaces.namespace","SYSTEM","Region","text","150","1","","","","","DISPLAY-REG","","","1","This is the region to which this namespace belongs.  Multiple namespaces can belong to the same region, however only one namespace can be active per region at a time.","Namespace"
"core_namespaces.pointer","SYSTEM","Pointer","text","250","0","","","","","HIDDEN-REG","","","0","","Hidden"
"core_namespaces.seourl","SYSTEM","Search Engine Optimized URL","text","200","0","","","","","DISPLAY-REG","","","0","The search engine optimized URL for this namespace.  This URL, if present, will be used for printing links to this namespace, and for recognizing links pointed to this namespace.","Namespace"
"core_namespaces.type","SYSTEM","Namespace Type","text","10","1","","","","","HIDDEN-REG","","","0","","Hidden"
"core_redirects.createdate","SYSTEM","Creation Timestamp","text","100","0","DISPLAY-DATE","","","","DISPLAY-DATE","","","1","The date/time this redirect was created.","Redirect"
"core_redirects.id","SYSTEM","Identifier","text","180","1","TEXTBOX-REG","","","","HIDDEN-REG","","","0","","Redirect"
"core_redirects.redirref","SYSTEM","Redirect Indentifier","text","150","1","SELECT-CUSTOM","core.redirecttargetns","","","SELECT-CUSTOM","core.redirecttargetns","","1","Select the redirect identifier for the destination for this redirect.","Redirect"
"core_redirects.redirtarget","SYSTEM","Redirect Target","text","150","1","SELECT-CUSTOM","core.redirecttargetns","","","SELECT-CUSTOM","core.redirecttargetns","","1","Select the redirect target for the destination for this redirect.","Redirect"
"core_redirects.reqref","SYSTEM","Request Indentifier","text","150","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","Enter the request indentifier for the request being redirected.","Redirect"
"core_redirects.reqtarget","SYSTEM","Request Target","text","150","1","SELECT-CUSTOM","core.redirecttargetns","","","SELECT-CUSTOM","core.redirecttargetns","","1","Select the request target for the request being redirected.","Redirect"
"core_reportsadv.app","SYSTEM","Component","text","150","1","","","","","","","","1","",""
"core_reportsadv.filename","SYSTEM","Report Content","text","250","1","","","","","","","","0","",""
"core_reportsadv.hascsv","SYSTEM","CSV Output Supported","integer","1","1","","","","","","","","0","",""
"core_reportsadv.id","SYSTEM","Identifier","text","50","1","","","","","","","","0","",""
"core_reportsadv.name","SYSTEM","Report Name","text","120","1","","","","","","","","1","",""
"core_rescom.id","SYSTEM","Identifier","text","5","1","","","","","","","","0","",""
"core_rescom.name","SYSTEM","Display Name","text","50","1","","","","","","","","0","",""
"core_selectcustom.app","SYSTEM","Component","text","150","1","","","","","","","","0","",""
"core_selectcustom.id","SYSTEM","Identifier","text","150","1","","","","","","","","0","",""
"core_selectcustom.selectid","SYSTEM","Select Identifier","text","150","1","","","","","","","","0","",""
"core_selectcustom.selectname","SYSTEM","Selection Item Display Value","text","250","1","","","","","","","","0","",""
"core_selectcustom.selectorder","SYSTEM","Selection Item Order","integer","5","0","","","","","","","","0","",""
"core_selectcustom.selectvalue","SYSTEM","Selection Item Database Value","text","250","1","","","","","","","","0","",""
"core_sessions.data","SYSTEM","Serialized Session Data","clob","","0","","","","","","","","0","",""
"core_sessions.id","SYSTEM","Identifier","text","128","1","","","","","","","","0","",""
"core_sessions.lastaccess","SYSTEM","Last Access Time (Epoch)","text","30","1","","","","","","","","0","",""
"core_settings.app","SYSTEM","Controlling Component","text","150","1","","","","","","","","0","",""
"core_settings.description","SYSTEM","Description","clob","","0","","","","","","","","0","",""
"core_settings.displaydata","SYSTEM","Display Data","clob","","0","","","","","","","","0","",""
"core_settings.displayinclude","SYSTEM","Custom Include File","text","100","0","","","","","","","","0","",""
"core_settings.displaytype","SYSTEM","Display Type","text","150","1","","","","","","","","0","",""
"core_settings.id","SYSTEM","Identifier","text","150","1","","","","","","","","0","",""
"core_settings.name","SYSTEM","Variable Name","text","150","1","","","","","","","","0","",""
"core_settings.required","SYSTEM","Value Required","integer","1","1","","","","","","","","0","",""
"core_settings.section","SYSTEM","Management Interface Section","text","150","1","","","","","","","","0","",""
"core_settings.value","SYSTEM","Variable Value","clob","","0","","","","","","","","0","",""
"core_shipzone.carrier","SYSTEM","Carrier Name","text","50","1","","","","","TEXTBOX-REG","","","1","This is the name used to identify the carrier for this zone based shipping zone.","Zone Based Shipping Zone"
"core_shipzone.id","SYSTEM","Zone Identifier","text","100","1","","","","","DISPLAY-REG","","","1","This identifier is used within the software to specify this zone based shipping product.","Zone Based Shipping Zone"
"core_shipzone.name","SYSTEM","Zone Name","text","200","1","","","","","TEXTBOX-REG","","","1","This is the name used to identify this zone based shipping zone.","Zone Based Shipping Zone"
"core_skinwidgets.iconclass","SYSTEM","Icon Class","text","50","1","SELECT-CUSTOM","core.kiconlist","","kicon_icon-default","SELECT-CUSTOM","core.kiconlist","","0","Enter the icon class to use for this widget.  If you are adding a new widget, use an existing icon class, or create your own icon and style it using your skin's CSS.","Skin Widget"
"core_skinwidgets.id","SYSTEM","Identifier","text","150","1","TEXTBOX-REG","","","","HIDDEN-REG","","","0","","Skin Widget"
"core_skinwidgets.name","SYSTEM","Header Name","text","150","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","The name used to identify this widget.","Skin Widget"
"core_skinwidgets.sortorder","SYSTEM","Display Order","integer","10","1","TEXTBOX-REG","","","999","TEXTBOX-REG","","","1","The display order numeric allows display of widgets in a particular order.  The widgets are sorted in ascending order based on this numeric indicator.","Skin Widget"
"core_skinwidgets.status","SYSTEM","Display Status","integer","1","1","SELECT-BOOL","","","0","SELECT-BOOL","","","1","This indicator controls whether this widget is active.  Select true to display the widget or false not to display it.","Skin Widget"
"core_skinwidgets.widgetclass","SYSTEM","Display Type","text","50","1","SELECT-CUSTOM","core.skinwidgetclasses","","kwidget_content","SELECT-CUSTOM","core.skinwidgetclasses","","1","Select the display type to control how this widget is presented.  Select an appropriate display type for this widget's display group.","Skin Widget"
"core_skinwidgets.widgetcontent","SYSTEM","Skin Widget Display Code","clob","","1","TEXTAREA-WYSIWYG","","","","TEXTAREA-WYSIWYG","","","0","Enter the content for this skin widget below.  This content should be written in standards compliant XHTML, and can contain PHP code.","Display Code"
"core_skinwidgets.widgetgroup","SYSTEM","Display Group","text","50","1","TEXTBOX-REG","","","FOOTER","TEXTBOX-REG","","","1","The display group indicator is used in conjunction with the display skin to control where this widget is presented.  The default skin uses several groups: HEADER, BANNER, NAVBAR, SIDEBAR1, SIDEBAR2, LOCATION and FOOTER, depending on configuration.","Skin Widget"
"core_skinwidgets.xmultisite","SYSTEM","MultiSite Limit","clob","","0","CHECKBOX-TABLE","SELECT {COLS} FROM core_multisite","","","CHECKBOX-TABLE","SELECT {COLS} FROM core_multisite","","1","If MultiSite is active, you can select to display this widget on only the MultiSites selected.  If you make no selection, this widget will be available on all MultiSites.","Multisite"
"core_stateprov.abb","SYSTEM","State/Province ISO Code","text","10","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","The state/province's two letter ISO code or abbreviation.","State/Province"
"core_stateprov.country","SYSTEM","Country","text","200","0","SELECT-TABLE","SELECT {COLS} FROM core_country","","","SELECT-TABLE","SELECT {COLS} FROM core_country","","1","Country in which this state/province is located.  Blank entries are allowed.","State/Province"
"core_stateprov.id","SYSTEM","Full State/Province Name","text","180","1","TEXTBOX-REG","","","","DISPLAY-REG","","","1","Primary key.  The state/province name should be entered here.","State/Province"
"core_stateprov.region","SYSTEM","Region","text","100","1","SELECT-CUSTOM","core.locationregion","","OTHER","SELECT-CUSTOM","core.locationregion","","0","Select the region for this state/province.","State/Province"
"core_stateprov.sortorder","SYSTEM","Sort Order","integer","10","1","TEXTBOX-REG","","","1","TEXTBOX-REG","","","0","This sort order numeric allows display of states/provinces in a particular order. States/Provinces are sorted in displays in ascending order based on this numeric indicator.","State/Province"
"core_stateprov.taxrate","SYSTEM","Item Tax Rate (Percentage)","text","10","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","State/Province item tax rate.  Enter 0.000 for no tax on items.","Tax Information"
"core_stateprov.taxship","SYSTEM","Shipping Tax Rate (Percentage)","text","20","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","State/Province shipping tax rate.  Enter 0.000 for no tax on shipping.","Tax Information"
"core_stateprov.usecon","SYSTEM","Display in Contact Forms","integer","1","0","SELECT-CUSTOM","generic.yesno","","","SELECT-CUSTOM","generic.yesno","","0","Indicates whether this state/province will be available in the contact information section of forms.","Display"
"core_stateprov.usedel","SYSTEM","Display in Delivery Forms","integer","1","0","SELECT-CUSTOM","generic.yesno","","","SELECT-CUSTOM","generic.yesno","","0","Indicates whether this state/province will be available in the delivery information section of forms.","Display"
"core_statsfe.hitcount","SYSTEM","Statistical Count","integer","15","1","","","","","DISPLAY-REG","","","1","",""
"core_statsfe.id","SYSTEM","Identifier","text","180","1","","","","","","","","0","",""
"core_statsfe.name","SYSTEM","Statistical Entry","text","250","1","","","","","DISPLAY-REG","","","1","",""
"core_statsfe.type","SYSTEM","Report Type","text","20","1","","","","","","","","0","",""
"core_tabledefs.tautoinc","SYSTEM","Auto-Incrementing Primary Key Indicator","integer","1","1","","","","","","","","0","",""
"core_tabledefs.tdelete","SYSTEM","SQL DELETE Allowed Indicator","integer","1","1","","","","","","","","0","",""
"core_tabledefs.tdescription","SYSTEM","Table Description","clob","","0","","","","","","","","0","",""
"core_tabledefs.tdisplay","SYSTEM","Display Columns","text","250","1","","","","","","","","0","",""
"core_tabledefs.tdrop","SYSTEM","SQL DROP Allowed Indicator","integer","1","1","","","","","","","","0","",""
"core_tabledefs.thasapp","SYSTEM","Component Column Indicator","integer","1","1","","","","","","","","0","",""
"core_tabledefs.tid","SYSTEM","Identifier","text","150","1","","","","","","","","0","",""
"core_tabledefs.tinsert","SYSTEM","SQL INSERT Allowed Indicator","integer","1","1","","","","","","","","0","",""
"core_tabledefs.tname","SYSTEM","Table Display Name","text","150","1","","","","","","","","0","",""
"core_tabledefs.torderby","SYSTEM","SQL ORDER BY Clause","text","250","0","","","","","","","","0","",""
"core_tabledefs.towner","SYSTEM","Table Owner","text","150","1","","","","","","","","0","",""
"core_tabledefs.tprimkey","SYSTEM","Primary Key Column","text","150","1","","","","","","","","0","",""
"core_tabledefs.tupdate","SYSTEM","SQL UPDATE Allowed Indicator","integer","1","1","","","","","","","","0","",""
"core_users.acctsysalt","SYSTEM","Accounting System Identifier Alternate","text","200","0","HIDDEN-REG","","","","HIDDEN-REG","","","0","","Hidden"
"core_users.acctsysaltmod","SYSTEM","Accounting System Modification Flag Alternate","integer","1","1","HIDDEN-REG","","","0","HIDDEN-REG","","","0","","Hidden"
"core_users.acctsyspri","SYSTEM","Accounting System Identifier Primary","text","200","0","HIDDEN-REG","","","","HIDDEN-REG","","","0","","Hidden"
"core_users.acctsysprimod","SYSTEM","Accounting System Modification Flag Primary","integer","1","1","HIDDEN-REG","","","0","HIDDEN-REG","","","0","","Hidden"
"core_users.acctsystermsavail","SYSTEM","Locked Payment Terms","text","50","0","SELECT-TABLE","SELECT {COLS} FROM ecom_acctsysterms WHERE disporders=1","","","SELECT-TABLE","SELECT {COLS} FROM ecom_acctsysterms WHERE disporders=1","","0","For user accounts with purchase on account enabled, you can select to limit payment terms to a single selection by selecting a payment term below.  If no selection is made, all payment terms will be available for the user account.","eCommerce Settings"
"core_users.addbook","SYSTEM","Delivery Address Book","clob","","0","HIDDEN-REG","","","","HIDDEN-REG","","","0","","Hidden"
"core_users.addone","SYSTEM","Address Line 1","text","150","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","First line of address.","Billing Address"
"core_users.addtwo","SYSTEM","Address Line 2","text","150","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Second line of address.","Billing Address"
"core_users.affilcommearned","SYSTEM","Affiliate Commission Earned (Total)","text","100","1","DISPLAY-REG","","","0.00","DISPLAY-REG","","","0","This field is used for affiliate s who earn commission on orders only.  This field holds the total amount of commission earned by this affiliate to date.  Initially this field should be set to '0.00'.  This amount is stored in the system base currency.","Affiliate Information"
