"id","type","name","data","xns"
"ecom.manageorderst.TBLUPDATEMODPOST","TABLE","TBLUPDATEMODPOST","updateorder","ecom.manageorderst"
"ecom.manageorderst.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateorderproc","ecom.manageorderst"
"ecom.manageordersv.COLSPECIAL1D","TABLE","COLSPECIAL1D","Order Manager","ecom.manageordersv"
"ecom.manageordersv.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","beordersummary","ecom.manageordersv"
"ecom.manageordersv.TBLSUPPRESSUPD","TABLE","TBLSUPPRESSUPD","1","ecom.manageordersv"
"ecom.manageordersv.TBLUPDATEMODPOST","TABLE","TBLUPDATEMODPOST","updateorder","ecom.manageordersv"
"ecom.manageordersv.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateorderproc","ecom.manageordersv"
"ecom.manageordersx.COLSPECIAL1D","TABLE","COLSPECIAL1D","Order Manager","ecom.manageordersx"
"ecom.manageordersx.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","beordersummary","ecom.manageordersx"
"ecom.manageordersx.TBLSUPPRESSUPD","TABLE","TBLSUPPRESSUPD","1","ecom.manageordersx"
"ecom.manageordersx.TBLUPDATEMODPOST","TABLE","TBLUPDATEMODPOST","updateorder","ecom.manageordersx"
"ecom.manageordersx.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateorderproc","ecom.manageordersx"
"ecom.managepo.DISABLEDEL.MISCINVITEM-DESCRIPTION","ID","DISABLEDEL","MISCINVITEM-DESCRIPTION","ecom.managepo"
"ecom.managepo.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","ecom.managepo"
"ecom.manageprod.acctsysalt.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysalt","ecom.manageprod"
"ecom.manageprod.acctsysaltmod.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysaltmod","ecom.manageprod"
"ecom.manageprod.acctsyspri.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsyspri","ecom.manageprod"
"ecom.manageprod.acctsysprimod.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysprimod","ecom.manageprod"
"ecom.manageprod.AUDITIOND","TABLE","AUDITIOND","Audition Product","ecom.manageprod"
"ecom.manageprod.AUDITIONNS","TABLE","AUDITIONNS","prodshow","ecom.manageprod"
"ecom.manageprod.createdate.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","createdate","ecom.manageprod"
"ecom.manageprod.DISABLEDEL.GIFTCERTIFICATE","ID","DISABLEDEL","GIFTCERTIFICATE","ecom.manageprod"
"ecom.manageprod.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","ecom.manageprod"
"ecom.manageprod.seourl.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","seourl","ecom.manageprod"
"ecom.manageprod.TBLDELETEMODPROC","TABLE","TBLDELETEMODPROC","deleteprod","ecom.manageprod"
"ecom.manageprod.TBLINSERTMODPROC","TABLE","TBLINSERTMODPROC","insertprod","ecom.manageprod"
"ecom.manageprod.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateprod","ecom.manageprod"
"ecom.manageprodfilter.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","ecom.manageprodfilter"
"ecom.managepurchordsc.COLSPECIAL1D","TABLE","COLSPECIAL1D","Purchase Order Manager","ecom.managepurchordsc"
"ecom.managepurchordsc.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","purchordmandisplay","ecom.managepurchordsc"
"ecom.managepurchordso.COLSPECIAL1D","TABLE","COLSPECIAL1D","Purchase Order Manager","ecom.managepurchordso"
"ecom.managepurchordso.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","purchordmandisplay","ecom.managepurchordso"
"ecom.managereviews.email.COLFORMATEMAIL","COLUMN","COLFORMATEMAIL","email","ecom.managereviews"
"ecom.managesalecust.DISABLEDEL.amtamt","ID","DISABLEDEL","amtamt","ecom.managesalecust"
"ecom.managesalecust.DISABLEDEL.amtpct","ID","DISABLEDEL","amtpct","ecom.managesalecust"
"ecom.managesalecust.DISABLEDEL.qtyamt","ID","DISABLEDEL","qtyamt","ecom.managesalecust"
"ecom.managesalecust.DISABLEDEL.qtypct","ID","DISABLEDEL","qtypct","ecom.managesalecust"
"ecom.managesalecust.DISABLEDEL.user","ID","DISABLEDEL","user","ecom.managesalecust"
"ecom.manageshipcust.DISABLEDEL.cst","ID","DISABLEDEL","cst","ecom.manageshipcust"
"ecom.manageshipcust.DISABLEDEL.pct","ID","DISABLEDEL","pct","ecom.manageshipcust"
"ecom.manageshipcust.DISABLEDEL.quan","ID","DISABLEDEL","quan","ecom.manageshipcust"
"ecom.manageshipcust.DISABLEDEL.user","ID","DISABLEDEL","user","ecom.manageshipcust"
"ecom.manageshipcust.DISABLEDEL.wgt","ID","DISABLEDEL","wgt","ecom.manageshipcust"
"ecom.manageshipzoneprod.DBOVERCUSTTEXT","TABLE","DBOVERCUSTTEXT","Use the interface below to manage zone based shipping products.  To load zone based shipping products for Royal Mail and/or Parcelforce into this interface, visit http://www.kryptronic.com/Software-Downloads and download the data files that contain the zone based shipping products you would like to use.","ecom.manageshipzoneprod"
"ecom.manageshipzonerate.DBOVERCUSTTEXT","TABLE","DBOVERCUSTTEXT","Use the interface below to manage zone based shipping rates.  To load zone based shipping rates for Royal Mail and/or Parcelforce into this interface, visit http://www.kryptronic.com/Software-Downloads and download the data files that contain the zone based shipping rates you would like to use.","ecom.manageshipzonerate"
"ecom.managesurchargecust.DISABLEDEL.amtamt","ID","DISABLEDEL","amtamt","ecom.managesurchargecust"
"ecom.managesurchargecust.DISABLEDEL.amtpct","ID","DISABLEDEL","amtpct","ecom.managesurchargecust"
"ecom.managesurchargecust.DISABLEDEL.qtyamt","ID","DISABLEDEL","qtyamt","ecom.managesurchargecust"
"ecom.managesurchargecust.DISABLEDEL.qtypct","ID","DISABLEDEL","qtypct","ecom.managesurchargecust"
"ecom.managesurchargecust.DISABLEDEL.user","ID","DISABLEDEL","user","ecom.managesurchargecust"
"ecom.managevendors.acctsysalt.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysalt","ecom.managevendors"
"ecom.managevendors.acctsysaltmod.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysaltmod","ecom.managevendors"
"ecom.managevendors.acctsyspri.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsyspri","ecom.managevendors"
"ecom.managevendors.acctsysprimod.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysprimod","ecom.managevendors"
"ecom.managevendors.custacct.COLFORMATEMAIL","COLUMN","COLFORMATEMAIL","custacct","ecom.managevendors"
"ecom.managevendors.DISABLEDEL.AMAZONFBA","ID","DISABLEDEL","AMAZONFBA","ecom.managevendors"
"ecom.managevendors.DISABLEDEL.DEFAULT","ID","DISABLEDEL","DEFAULT","ecom.managevendors"
"ecom.managevendors.DISABLEDEL.TAXAUTHORITY","ID","DISABLEDEL","TAXAUTHORITY","ecom.managevendors"
"ecom.managevendors.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","ecom.managevendors"
"ecom.managevendors.name.TBLISUNIQUE","COLUMN","TBLISUNIQUE","name","ecom.managevendors"
"ecom.managevendors.name.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","name","ecom.managevendors"
"ecom.managevendors.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updatevendor","ecom.managevendors"
