"id","app","selectid","selectname","selectvalue","selectorder"
"ecom.cartformtypes.1","ecom","ecom.cartformtypes","Textarea: Regular","TEXTAREA-REG","2"
"ecom.cartformtypes.2","ecom","ecom.cartformtypes","Textarea: Small","TEXTAREA-SMALL","3"
"ecom.cartformtypes.3","ecom","ecom.cartformtypes","Selection List (List)","SELECT-CUSTOM","4"
"ecom.cartformtypes.4","ecom","ecom.cartformtypes","Checkboxes (List)","CHECKBOX-CUSTOM","5"
"ecom.cartformtypes.5","ecom","ecom.cartformtypes","Radio Buttons (List)","RADIO-CUSTOM","6"
"ecom.cartformtypes.7","ecom","ecom.cartformtypes","File Upload","FILE-UPLOAD","8"
"ecom.catdisprow.2","ecom","ecom.catdisprow","Two per Row","2","2"
"ecom.catdisprow.3","ecom","ecom.catdisprow","Three per Row","3","3"
"ecom.catdisprow.4","ecom","ecom.catdisprow","Four per Row","4","4"
"ecom.cathighlights.CUSTOMPACKAGES","ecom","ecom.cathighlights","Custom Packages","CUSTOMPACKAGES","2"
"ecom.cathighlights.DISALLOWDISCOUNTS","ecom","ecom.cathighlights","Discount Exclusions","DISALLOWDISCOUNTS","4"
"ecom.cathighlights.FREESHIPPING","ecom","ecom.cathighlights","Free Shipping","FREESHIPPING","5"
"ecom.cathighlights.PACKAGEDEALS","ecom","ecom.cathighlights","Package Deals","PACKAGEDEALS","1"
"ecom.cathighlights.REBATES","ecom","ecom.cathighlights","Rebates","REBATES","3"
"ecom.catshowtype.DESCIMG","ecom","ecom.catshowtype","Description and Image","DESCIMG","1"
"ecom.catshowtype.DESCONLY","ecom","ecom.catshowtype","Description Only","DESCONLY","2"
"ecom.catshowtype.NONE","ecom","ecom.catshowtype","Do Not Display","NONE","3"
"ecom.catsubdisp.DEFAULT","ecom","ecom.catsubdisp","Standard View - Separate Category and Product Offer Grids","DEFAULT","1"
"ecom.catsubdisp.FEATGRID","ecom","ecom.catsubdisp","Category Feature Grid - Category Sections with Inline Product Offers","FEATGRID","2"
"ecom.channelinvoverride.DROPUNL","ecom","ecom.channelinvoverride","Dropshipped Unlimited Stock","DROPUNL","4"
"ecom.channelinvoverride.LOCALINV","ecom","ecom.channelinvoverride","Local Warehouse Inventoried","LOCALINV","3"
"ecom.channelinvoverride.LOCALINVDROPUNL","ecom","ecom.channelinvoverride","Local Warehouse Inventoried / Dropshipped (When Out)","LOCALINVDROPUNL","5"
"ecom.channelinvoverride.LOCALUNL","ecom","ecom.channelinvoverride","Local Warehouse Unlimited Stock","LOCALUNL","2"
"ecom.channelinvoverride.NOOVERRIDE","ecom","ecom.channelinvoverride","No Override - Use Inventory Controls","NOOVERRIDE","1"
"ecom.channeloffertype.INVITEMS","ecom","ecom.channeloffertype","Inventory Item","INVITEMS","1"
"ecom.channeloffertype.PACKAGEDEAL","ecom","ecom.channeloffertype","Package Deal: Bundle of Inventory Items","PACKAGEDEAL","2"
"ecom.channels.amazon","ecom","ecom.channels","Amazon Web Services (XML)","amazon","10"
"ecom.channels.ebay","ecom","ecom.channels","eBay API (XML)","ebay","20"
"ecom.combopromolimits.COOKIE","ecom","ecom.combopromolimits","Shoppers with Cookie","COOKIE","1"
"ecom.combopromolimits.USERGROUP","ecom","ecom.combopromolimits","Customers Belonging to Certain User Groups","USERGROUP","2"
"ecom.conndeact.1","ecom","ecom.conndeact","Deactivate this connection.","1","1"
"ecom.createaccountform.ecom.guestco","ecom","ecom.guestcoform","Billing Fields Only","ecom.guestco","1"
"ecom.createaccountform.ecom.guestcoship","ecom","ecom.guestcoform","Billing and Delivery Fields","ecom.guestcoship","2"
"ecom.credits_statusinternal.0","ecom","ecom.credits_statusinternal","Customer, Internal","0","1"
"ecom.credits_statusinternal.1","ecom","ecom.credits_statusinternal","Internal Use Only","1","2"
"ecom.customlistdisplay.0","ecom","ecom.customlistdisplay","Do Not Override","0","1"
"ecom.customlistdisplay.1","ecom","ecom.customlistdisplay","On / True (1)","1","2"
"ecom.customlistdisplay.2","ecom","ecom.customlistdisplay","Off / False (0)","2","3"
"ecom.custpkgdisp.RADIO","ecom","ecom.custpkgdisp","Radio Buttons with Single Quantity Input","RADIO","2"
"ecom.custpkgdisp.SELECT","ecom","ecom.custpkgdisp","Selection List with Single Quantity Input","SELECT","1"
"ecom.discexclusionsinv.FREEGIFTCERT","ecom","ecom.discexclusionsinv","Free Gift Certificate Calculations","FREEGIFTCERT","3"
"ecom.discexclusionsinv.FREEITEM","ecom","ecom.discexclusionsinv","Free Product Offer Calculations","FREEITEM","2"
"ecom.discexclusionsinv.FREESHIP","ecom","ecom.discexclusionsinv","Free Shipping Threshold","FREESHIP","4"
"ecom.discexclusionsinv.MANUSALE","ecom","ecom.discexclusionsinv","Manufacturer Sale Calculations","MANUSALE","1"
"ecom.discexclusionsoffer.FREEGIFTCERT","ecom","ecom.discexclusionsoffer","Free Gift Certificate Calculations","FREEGIFTCERT","3"
"ecom.discexclusionsoffer.FREEITEM","ecom","ecom.discexclusionsoffer","Free Product Offer Calculations","FREEITEM","2"
"ecom.discexclusionsoffer.MANUSALE","ecom","ecom.discexclusionsoffer","Manufacturer Sale Calculations","MANUSALE","1"
"ecom.discprods.A","ecom","ecom.discprods","Apply To All Products","A","1"
"ecom.discprods.E","ecom","ecom.discprods","Apply To All Except Related Products","E","3"
"ecom.discprods.I","ecom","ecom.discprods","Apply Only To Related Products","I","2"
"ecom.disctype.1","ecom","ecom.disctype","Expiring Discount","1","1"
"ecom.disctype.5","ecom","ecom.disctype","Non-Expiring Discount","5","2"
"ecom.dispprodnums.CARTMINI","ecom","ecom.dispprodnums","Mini Shopping Cart","CARTMINI","50"
"ecom.dispprodnums.CARTWL","ecom","ecom.dispprodnums","Shopping Cart and Wish Lists","CARTWL","40"
"ecom.dispprodnums.CATFEATGRID","ecom","ecom.dispprodnums","Category Feature Grids","CATFEATGRID","15"
"ecom.dispprodnums.CHECKOUT","ecom","ecom.dispprodnums","Checkout","CHECKOUT","60"
"ecom.dispprodnums.CREDITS","ecom","ecom.dispprodnums","Credits","CREDITS","100"
"ecom.dispprodnums.LOCATION","ecom","ecom.dispprodnums","Location / Breadcrumbs","LOCATION","90"
"ecom.dispprodnums.ORDERINVOICES","ecom","ecom.dispprodnums","Order Summaries and Invoices","ORDERINVOICES","70"
"ecom.dispprodnums.ORDERMAILS","ecom","ecom.dispprodnums","Order Mail Messages","ORDERMAILS","80"
"ecom.dispprodnums.PRODLIST","ecom","ecom.dispprodnums","Product Offer Listings","PRODLIST","10"
"ecom.dispprodnums.PRODSHOWINV","ecom","ecom.dispprodnums","Product Detail Page: Inventory Items","PRODSHOWINV","30"
"ecom.dispprodnums.PRODSHOWOFFER","ecom","ecom.dispprodnums","Product Detail Page: Product Offer","PRODSHOWOFFER","20"
"ecom.dispprodnums.PURCHORDMAILS","ecom","ecom.dispprodnums","Purchase Order Mail Messages","PURCHORDMAILS","120"
"ecom.dispprodnums.PURCHORDS","ecom","ecom.dispprodnums","Purchase Orders","PURCHORDS","110"
"ecom.dispprodnums.SEARCHMINIAJAX","ecom","ecom.dispprodnums","Search Predictive Results","SEARCHMINIAJAX","55"
"ecom.ebaycondition.1000","ecom","ecom.ebaycondition","New","1000","10"
"ecom.ebaycondition.1500","ecom","ecom.ebaycondition","New Other (See Details)","1500","20"
"ecom.ebaycondition.1750","ecom","ecom.ebaycondition","New With Defects","1750","30"
"ecom.ebaycondition.2000","ecom","ecom.ebaycondition","Manufacturer Refurbished","2000","40"
"ecom.ebaycondition.2500","ecom","ecom.ebaycondition","Seller Refurbished","2500","50"
"ecom.ebaycondition.2750","ecom","ecom.ebaycondition","Like New","2750","60"
"ecom.ebaycondition.3000","ecom","ecom.ebaycondition","Used","3000","70"
"ecom.ebaycondition.4000","ecom","ecom.ebaycondition","Very Good","4000","80"
"ecom.ebaycondition.5000","ecom","ecom.ebaycondition","Good","5000","90"
"ecom.ebaycondition.6000","ecom","ecom.ebaycondition","Acceptable","6000","100"
"ecom.ebaycondition.7000","ecom","ecom.ebaycondition","For Parts or Not Working","7000","110"
"ecom.ebaydispatchtime.0","ecom","ecom.ebaydispatchtime","0 Days","0","1"
"ecom.ebaydispatchtime.1","ecom","ecom.ebaydispatchtime","1 Day","1","2"
"ecom.ebaydispatchtime.10","ecom","ecom.ebaydispatchtime","10 Days","10","8"
"ecom.ebaydispatchtime.15","ecom","ecom.ebaydispatchtime","15 Days","15","10"
"ecom.ebaydispatchtime.2","ecom","ecom.ebaydispatchtime","2 Days","2","3"
"ecom.ebaydispatchtime.20","ecom","ecom.ebaydispatchtime","20 Days","20","5"
"ecom.ebaydispatchtime.3","ecom","ecom.ebaydispatchtime","3 Days","3","4"
"ecom.ebaydispatchtime.30","ecom","ecom.ebaydispatchtime","30 Days","30","9"
"ecom.ebaydispatchtime.4","ecom","ecom.ebaydispatchtime","4 Days","4","6"
"ecom.ebaydispatchtime.5","ecom","ecom.ebaydispatchtime","5 Days","5","7"
"ecom.ebaylistingduration.Days_1","ecom","ecom.ebaylistingduration","1 Day","Days_1","20"
"ecom.ebaylistingduration.Days_10","ecom","ecom.ebaylistingduration","10 Days","Days_10","60"
"ecom.ebaylistingduration.Days_120","ecom","ecom.ebaylistingduration","120 Days","Days_120","120"
"ecom.ebaylistingduration.Days_14","ecom","ecom.ebaylistingduration","14 Days","Days_14","70"
"ecom.ebaylistingduration.Days_21","ecom","ecom.ebaylistingduration","21 Days","Days_21","80"
"ecom.ebaylistingduration.Days_3","ecom","ecom.ebaylistingduration","3 Days","Days_3","30"
"ecom.ebaylistingduration.Days_30","ecom","ecom.ebaylistingduration","30 Days","Days_30","90"
"ecom.ebaylistingduration.Days_5","ecom","ecom.ebaylistingduration","5 Days","Days_5","40"
"ecom.ebaylistingduration.Days_60","ecom","ecom.ebaylistingduration","60 Days","Days_60","100"
"ecom.ebaylistingduration.Days_7","ecom","ecom.ebaylistingduration","7 Days","Days_7","50"
"ecom.ebaylistingduration.Days_90","ecom","ecom.ebaylistingduration","90 Days","Days_90","110"
"ecom.ebaylistingduration.GTC","ecom","ecom.ebaylistingduration","Good Til Cancelled","GTC","10"
"ecom.ebaypaymentpolicyprofile.120622931018","ecom","ecom.ebaypaymentpolicyprofile","PayPal#1","120622931018","2"
"ecom.ebaypaymentpolicyprofile.26026892018","ecom","ecom.ebaypaymentpolicyprofile","Payment policy 72498","26026892018","1"
"ecom.ebaypaymentpolicyprofile.94289406018","ecom","ecom.ebaypaymentpolicyprofile","PayPal","94289406018","4"
"ecom.ebaypaymentpolicyprofile.99903604018","ecom","ecom.ebaypaymentpolicyprofile","PayPal#0","99903604018","3"
"ecom.ebayreturnpolicyprofile.12975612018","ecom","ecom.ebayreturnpolicyprofile","Returns policy 75441097","12975612018","5"
"ecom.ebayreturnpolicyprofile.133432981018","ecom","ecom.ebayreturnpolicyprofile","Returns Accepted,Buyer,30 days#0","133432981018","4"
"ecom.ebayreturnpolicyprofile.14215062018","ecom","ecom.ebayreturnpolicyprofile","Returns policy 8155959","14215062018","1"
"ecom.ebayreturnpolicyprofile.33429513018","ecom","ecom.ebayreturnpolicyprofile","Returns policy 18618672","33429513018","2"
"ecom.ebayreturnpolicyprofile.40191638018","ecom","ecom.ebayreturnpolicyprofile","Returns policy 51916067","40191638018","3"
"ecom.ebayreturnpolicyprofile.90582764018","ecom","ecom.ebayreturnpolicyprofile","Returns Accepted,Buyer,30 days","90582764018","6"
"ecom.ebayshippingpolicyprofile.100047389018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 24 Hour(Free),Same business day","100047389018","156"
"ecom.ebayshippingpolicyprofile.103956251018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 24 Hour(Free),Collection in,Same w#0","103956251018","114"
"ecom.ebayshippingpolicyprofile.111144975018","ecom","ecom.ebayshippingpolicyprofile","Flat:Royal Mail 2nd(£3.65),Other 24 Hour,Same#1","111144975018","32"
"ecom.ebayshippingpolicyprofile.113129807018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 48h cour(Free),Collection in,1 wor","113129807018","46"
"ecom.ebayshippingpolicyprofile.115315938018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 48h cour(Free),Other 24 Hour,Same","115315938018","2"
"ecom.ebayshippingpolicyprofile.119411485018","ecom","ecom.ebayshippingpolicyprofile","Flat:Royal Mail 2nd(Free),Other 24 Hour,Same#3","119411485018","141"
"ecom.ebayshippingpolicyprofile.120431348018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 24 Hour(£10.50),Other 48h cour,Sam","120431348018","128"
"ecom.ebayshippingpolicyprofile.12975619018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 84455124","12975619018","137"
"ecom.ebayshippingpolicyprofile.13039071018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 47213790","13039071018","116"
"ecom.ebayshippingpolicyprofile.13201388018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 17448665","13201388018","118"
"ecom.ebayshippingpolicyprofile.13745351018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 47748308","13745351018","145"
"ecom.ebayshippingpolicyprofile.15805061018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 35004967","15805061018","122"
"ecom.ebayshippingpolicyprofile.18303688018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 74450065","18303688018","73"
"ecom.ebayshippingpolicyprofile.18816928018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 61201532","18816928018","52"
"ecom.ebayshippingpolicyprofile.21403529018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 80518726","21403529018","16"
"ecom.ebayshippingpolicyprofile.26028389018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 84515346","26028389018","129"
"ecom.ebayshippingpolicyprofile.26028491018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 78941074","26028491018","91"
"ecom.ebayshippingpolicyprofile.26028873018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 65951396","26028873018","20"
"ecom.ebayshippingpolicyprofile.26037798018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 52909418","26037798018","95"
"ecom.ebayshippingpolicyprofile.26037992018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 81035118","26037992018","125"
"ecom.ebayshippingpolicyprofile.26084523018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 73950054","26084523018","17"
"ecom.ebayshippingpolicyprofile.26085024018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 22821183","26085024018","72"
"ecom.ebayshippingpolicyprofile.26085564018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 90317961","26085564018","148"
"ecom.ebayshippingpolicyprofile.29456621018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 95444674","29456621018","77"
"ecom.ebayshippingpolicyprofile.29459437018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 10441109","29459437018","131"
"ecom.ebayshippingpolicyprofile.29826385018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 79441889","29826385018","22"
"ecom.ebayshippingpolicyprofile.31017592018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 67797224","31017592018","76"
"ecom.ebayshippingpolicyprofile.31341576018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 2617772","31341576018","135"
"ecom.ebayshippingpolicyprofile.31817650018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 82449958","31817650018","66"
"ecom.ebayshippingpolicyprofile.32136036018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 50518374","32136036018","62"
"ecom.ebayshippingpolicyprofile.32136493018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 73048801","32136493018","154"
"ecom.ebayshippingpolicyprofile.32137275018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 97783842","32137275018","162"
"ecom.ebayshippingpolicyprofile.32137420018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 56256211","32137420018","34"
"ecom.ebayshippingpolicyprofile.32137679018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 82535335","32137679018","136"
"ecom.ebayshippingpolicyprofile.32306790018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 94162542","32306790018","35"
"ecom.ebayshippingpolicyprofile.32306893018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 28181102","32306893018","171"
"ecom.ebayshippingpolicyprofile.32307034018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 63961501","32307034018","152"
"ecom.ebayshippingpolicyprofile.32307091018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 1101629","32307091018","133"
"ecom.ebayshippingpolicyprofile.32307205018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 44961124","32307205018","106"
"ecom.ebayshippingpolicyprofile.32407243018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 62354038","32407243018","44"
"ecom.ebayshippingpolicyprofile.32407379018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 32962086","32407379018","165"
"ecom.ebayshippingpolicyprofile.32407470018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 51101381","32407470018","132"
"ecom.ebayshippingpolicyprofile.36103270018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 41307680","36103270018","43"
"ecom.ebayshippingpolicyprofile.36365986018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 7381775","36365986018","68"
"ecom.ebayshippingpolicyprofile.36366003018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 77329148","36366003018","87"
"ecom.ebayshippingpolicyprofile.36475695018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 91822641","36475695018","61"
"ecom.ebayshippingpolicyprofile.36898285018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 70971015","36898285018","80"
"ecom.ebayshippingpolicyprofile.37278339018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 39825446","37278339018","5"
"ecom.ebayshippingpolicyprofile.37521841018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 22500557","37521841018","110"
"ecom.ebayshippingpolicyprofile.37977818018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 93392643","37977818018","75"
"ecom.ebayshippingpolicyprofile.38347357018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 60146683","38347357018","81"
"ecom.ebayshippingpolicyprofile.39538413018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 14464958","39538413018","169"
"ecom.ebayshippingpolicyprofile.40232507018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 74266821","40232507018","99"
"ecom.ebayshippingpolicyprofile.40232687018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 33400896","40232687018","79"
"ecom.ebayshippingpolicyprofile.40232689018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 84226821","40232689018","86"
"ecom.ebayshippingpolicyprofile.40232695018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 29719588","40232695018","104"
"ecom.ebayshippingpolicyprofile.40232696018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 28076907","40232696018","28"
"ecom.ebayshippingpolicyprofile.40232699018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 1410759","40232699018","6"
"ecom.ebayshippingpolicyprofile.40232742018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 31650280","40232742018","155"
"ecom.ebayshippingpolicyprofile.40233069018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 40159273","40233069018","158"
"ecom.ebayshippingpolicyprofile.40233262018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 72757730","40233262018","163"
"ecom.ebayshippingpolicyprofile.40233565018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 53671364","40233565018","67"
"ecom.ebayshippingpolicyprofile.40233573018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 15081973","40233573018","36"
"ecom.ebayshippingpolicyprofile.40233574018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 68843717","40233574018","58"
"ecom.ebayshippingpolicyprofile.40233576018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 15305328","40233576018","11"
"ecom.ebayshippingpolicyprofile.40233578018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 77598234","40233578018","85"
"ecom.ebayshippingpolicyprofile.40233579018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 65930607","40233579018","4"
"ecom.ebayshippingpolicyprofile.40233584018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 95434484","40233584018","69"
"ecom.ebayshippingpolicyprofile.40234946018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 71814249","40234946018","100"
"ecom.ebayshippingpolicyprofile.40235941018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 70517225","40235941018","78"
"ecom.ebayshippingpolicyprofile.40236075018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 4948296","40236075018","146"
"ecom.ebayshippingpolicyprofile.40236139018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 78572387","40236139018","30"
"ecom.ebayshippingpolicyprofile.40236173018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 99408711","40236173018","25"
"ecom.ebayshippingpolicyprofile.40239828018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 60138186","40239828018","70"
"ecom.ebayshippingpolicyprofile.40242402018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 88000524","40242402018","96"
"ecom.ebayshippingpolicyprofile.40245836018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 62530158","40245836018","144"
"ecom.ebayshippingpolicyprofile.40247014018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 31622609","40247014018","112"
"ecom.ebayshippingpolicyprofile.40584028018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 97676199","40584028018","92"
"ecom.ebayshippingpolicyprofile.42309632018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 13851933","42309632018","18"
"ecom.ebayshippingpolicyprofile.43223585018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 75063457","43223585018","139"
"ecom.ebayshippingpolicyprofile.49472538018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 40349569","49472538018","153"
"ecom.ebayshippingpolicyprofile.50734223018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 29671070","50734223018","26"
"ecom.ebayshippingpolicyprofile.50734248018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 23537442","50734248018","97"
"ecom.ebayshippingpolicyprofile.50734260018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 16087623","50734260018","108"
"ecom.ebayshippingpolicyprofile.50734344018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 48819555","50734344018","142"
"ecom.ebayshippingpolicyprofile.50734379018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 47171347","50734379018","172"
"ecom.ebayshippingpolicyprofile.50734415018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 9974233","50734415018","45"
"ecom.ebayshippingpolicyprofile.50734431018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 55095787","50734431018","82"
"ecom.ebayshippingpolicyprofile.50734432018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 14264471","50734432018","127"
"ecom.ebayshippingpolicyprofile.50734442018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 320159","50734442018","63"
"ecom.ebayshippingpolicyprofile.50735121018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 19334494","50735121018","40"
"ecom.ebayshippingpolicyprofile.50735272018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 19370409","50735272018","159"
"ecom.ebayshippingpolicyprofile.50735315018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 67006652","50735315018","21"
"ecom.ebayshippingpolicyprofile.50735376018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 29427747","50735376018","3"
"ecom.ebayshippingpolicyprofile.50738560018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 92713014","50738560018","101"
"ecom.ebayshippingpolicyprofile.50738562018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 1597422","50738562018","71"
"ecom.ebayshippingpolicyprofile.50738564018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 20541933","50738564018","149"
"ecom.ebayshippingpolicyprofile.51780909018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 41582094","51780909018","88"
"ecom.ebayshippingpolicyprofile.52238671018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 67161032","52238671018","74"
"ecom.ebayshippingpolicyprofile.52238673018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 84669505","52238673018","157"
"ecom.ebayshippingpolicyprofile.52239011018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 22263517","52239011018","111"
"ecom.ebayshippingpolicyprofile.52239012018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 21398959","52239012018","47"
"ecom.ebayshippingpolicyprofile.52239020018","ecom","ecom.ebayshippingpolicyprofile","Postage policy 14190789","52239020018","65"
"ecom.ebayshippingpolicyprofile.56250614018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 24 Hour(£6.00),Collection in,1 wor","56250614018","39"
"ecom.ebayshippingpolicyprofile.56581034018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 24 Hour(£6.00),Collection in,1 wor#1","56581034018","147"
"ecom.ebayshippingpolicyprofile.57271630018","ecom","ecom.ebayshippingpolicyprofile","Flat:Royal Mail 2nd(£1.99),Other 24 Hour/Flat","57271630018","164"
"ecom.ebayshippingpolicyprofile.57460211018","ecom","ecom.ebayshippingpolicyprofile","Flat:Royal Mail 2nd(£1.78),Other 24 Hour/Flat","57460211018","121"
"ecom.ebayshippingpolicyprofile.57827765018","ecom","ecom.ebayshippingpolicyprofile","Flat:Royal Mail 2nd(£3.60),Other 24 Hour,1 wo","57827765018","49"
"ecom.ebayshippingpolicyprofile.59919395018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 48 Hour(£4.50),Other 24 Hour/Flat:","59919395018","89"
"ecom.ebayshippingpolicyprofile.59931401018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 48 Hour(£4.50),Other 24 Hour/Flat:#0","59931401018","160"
"ecom.ebayshippingpolicyprofile.61378214018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 48 Hour(£6.00),Other 24 Hour,Same","61378214018","98"
"ecom.ebayshippingpolicyprofile.61378216018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 24 Hour(£10.50),Collection in,Same","61378216018","56"
"ecom.ebayshippingpolicyprofile.61378218018","ecom","ecom.ebayshippingpolicyprofile","Flat:Royal Mail 2nd(£2.29),Other 24 Hour,Same","61378218018","53"
"ecom.ebayshippingpolicyprofile.61378219018","ecom","ecom.ebayshippingpolicyprofile","Flat:Royal Mail 2nd(£1.99),Other 24 Hour,Same","61378219018","168"
"ecom.ebayshippingpolicyprofile.61378220018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 24 Hour(£6.00),Collection in,Same","61378220018","29"
"ecom.ebayshippingpolicyprofile.61378221018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 48 Hour(£4.50),Other 24 Hour/Flat:#1","61378221018","140"
"ecom.ebayshippingpolicyprofile.61378225018","ecom","ecom.ebayshippingpolicyprofile","Flat:Royal Mail 2nd(£3.45),Other 24 Hour,Same","61378225018","10"
"ecom.ebayshippingpolicyprofile.61378226018","ecom","ecom.ebayshippingpolicyprofile","Flat:Royal Mail 2nd(£1.78),Other 24 Hour,Same#0","61378226018","41"
"ecom.ebayshippingpolicyprofile.61378228018","ecom","ecom.ebayshippingpolicyprofile","Flat:Royal Mail 2nd(£1.78),Other 24 Hour,Same#1","61378228018","38"
"ecom.ebayshippingpolicyprofile.61378231018","ecom","ecom.ebayshippingpolicyprofile","Flat:Other 48 Hour(£4.50),Other 24 Hour,Same","61378231018","13"
