"id","app","name","textincid","usexhtml","xhtmlincid","defaultsender","defaultto","defaultsubject","prependsubject","appendsubject","addlto","addlcc","addlbcc","interface"
"ecom.ordsplitcompcust","ecom","Order Split Message (Customer)","<?php

$eol           = $this->globals('core.eol');
$site_name     = $this->globals('core_settings.core.site_name');
$order_orig    = $this->globals('ecom.order_summary');
$order_new     = $this->globals('ecom.orderman_splitcomp_neworder');

?>

Your <?php print $site_name; ?> order has been modified.  Items were moved from order <?php print $order_orig['order']['id']; ?> to a new order.  The order number for the new order is <?php print $order_new['order']['id']; ?>.  Following this mail message, you will receive additional mail messages containing the details for both orders.","1","<?php

$eol           = $this->globals('core.eol');
$site_name     = $this->globals('core_settings.core.site_name');
$order_orig    = $this->globals('ecom.order_summary');
$order_new     = $this->globals('ecom.orderman_splitcomp_neworder');

?>

<p>Your <?php print $this->xhtml_encode($site_name); ?> order has been modified.  Items were moved from order <strong><?php print $this->xhtml_encode($order_orig['order']['id']); ?></strong> to a new order.  The order number for the new order is <strong><?php print $this->xhtml_encode($order_new['order']['id']); ?></strong>.  Following this mail message, you will receive additional mail messages containing the details for both orders.</p>","sales@dorotape.co.uk","{SESSION:email}","Order Split","","","","","",""
"ecom.purchordclosevendor","ecom","Purchase Order Close Message (Vendor)","<?php

$this->globals('ecom.mail_msgtype','POCLOSEVENDOR');
$this->include_file('ecom','purchordtxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','POCLOSEVENDOR');
$this->include_file('ecom','purchordxhtml.php');

?>","sales@dorotape.co.uk","sales@dorotape.co.uk","Purchase Order Closed","","","","mick.ingram@dorotape.co.uk","",""
"ecom.purchordmodvendor","ecom","Purchase Order Modification Message (Vendor)","<?php

$this->globals('ecom.mail_msgtype','POMODVENDOR');
$this->include_file('ecom','purchordtxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','POMODVENDOR');
$this->include_file('ecom','purchordxhtml.php');

?>","sales@dorotape.co.uk","sales@dorotape.co.uk","Purchase Order Modified","","","","mick.ingram@dorotape.co.uk","",""
"ecom.purchordnewvendor","ecom","Purchase Order Created Message (Vendor)","<?php

$this->globals('ecom.mail_msgtype','PONEWVENDOR');
$this->include_file('ecom','purchordtxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','PONEWVENDOR');
$this->include_file('ecom','purchordxhtml.php');

?>","sales@dorotape.co.uk","sales@dorotape.co.uk","Purchase Order Created","","","","mick.ingram@dorotape.co.uk","",""
"ecom.purchordreqvendor","ecom","Purchase Order Backorder Update Request Message (Vendor)","<?php

$this->globals('ecom.mail_msgtype','POREQVENDOR');
$this->include_file('ecom','purchordtxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','POREQVENDOR');
$this->include_file('ecom','purchordxhtml.php');

?>","mick.ingram@dorotape.co.uk","mick.ingram@dorotape.co.uk","Purchase Order Backorder Update Request","","","","mick.ingram@dorotape.co.uk","",""
"ecom.quotecanint","ecom","Quote Cancellation Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','CANCELQUOTEINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','CANCELQUOTEINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Quote Cancelled","","","","","",""
"ecom.quoteconfcust","ecom","Quote Confirmation Message (Customer)","<?php

$this->globals('ecom.mail_msgtype','QUOTECUSTOMER');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','QUOTECUSTOMER');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","sales@dorotape.co.uk","{SESSION:email}","Quote Confirmation","","","","","",""
"ecom.quoteconfint","ecom","Quote Confirmation Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','QUOTEINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','QUOTEINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Quote Confirmation","","","","","",""
"ecom.quotecreditapplyint","ecom","Quote Credit Applied Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','CREDITAPPLYQUOTEINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','CREDITAPPLYQUOTEINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Quote Credit Applied","","","","","",""
"ecom.quotemodint","ecom","Quote Modification Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','MODQUOTEINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','MODQUOTEINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Quote Modified","","","","","",""
"ecom.quotepayint","ecom","Quote Payment Applied Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','PAYQUOTEINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','PAYQUOTEINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Quote Payment Applied","","","","","",""
"ecom.quotereplaceint","ecom","Quote Replaced Message (Internal)","<?php 

$eol        = $this->globals('core.eol');
$order      = $this->globals('ecom.order_summary');
$neworderid = $this->globals('ecom_orderman.neworderid');
$site_name     = $this->globals('core_settings.core.site_name');

print 'The ' . $site_name . ' quote with number ' . $order['order']['id'] . ' has been modified.  To ensure this quote is processed correctly, the quote number has been changed.  A message containing the modified quote, with new quote number ' . $neworderid . ', will be sent momentarily.' . $eol;

?>","1","<?php 

$eol        = $this->globals('core.eol');
$order      = $this->globals('ecom.order_summary');
$orderid    = $this->xhtml_encode($order['order']['id']);
$neworderid = $this->xhtml_encode($this->globals('ecom_orderman.neworderid'));
$site_name  = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

print '<p>The ' . $site_name . ' quote with number ' . $order['order']['id'] . ' has been modified.  To ensure this quote is processed correctly, the quote number has been changed.  A message containing the modified quote, with new quote number ' . $neworderid . ', will be sent momentarily.</p>' . $eol;

?>","{SESSION:email}","sales@dorotape.co.uk","Quote Modified","","","","","",""
"ecom.returnconfcust","ecom","Return Confirmation Message (Customer)","<?php

$this->globals('ecom.mail_msgtype','RETURNCUSTOMER');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','RETURNCUSTOMER');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","sales@dorotape.co.uk","{SESSION:email}","Return Confirmation","","","","","",""
"ecom.returnconfint","ecom","Return Confirmation Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','RETURNINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','RETURNINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Return Confirmation","","","","","",""
"ecom.reviews","ecom","Product Review Submission","<?php 

$eol       = $this->globals('core.eol');
$proddisp  = $this->globals('core_mail.proddisp');
$formdata  = $this->globals('core_mail.formdata');
$reqauth   = $this->globals('core_settings.ecom.reviews_reqauth');

$prodname  = $proddisp['name'];
$prodid    = $proddisp['id'];
$subject   = $formdata['subject'];

print 'A new review titled ' . $subject . ' has been posted online for the item ' . $prodname . ' (' . $prodid . ').' . $eol . $eol;

if (empty($reqauth)) {

    print 'This review was automatically set to display.' . $eol . $eol;

    print 'Login to the management interface and use the administrative Reviews function to manage reviews, and review settings.' . $eol . $eol;

} else {

    print 'This review is awaiting approval.  To publish this review, update the Status for the review.' . $eol . $eol;

    print 'Login to the management interface and use the administrative Reviews function to manage reviews, and review settings.' . $eol . $eol;

} // End of if statement.

?>","1","<?php 

$eol       = $this->globals('core.eol');
$proddisp  = $this->globals('core_mail.proddisp');
$formdata  = $this->globals('core_mail.formdata');
$reqauth   = $this->globals('core_settings.ecom.reviews_reqauth');

$prodname  = $this->xhtml_encode($proddisp['name']);
$prodid    = $this->xhtml_encode($proddisp['id']);
$subject   = $this->xhtml_encode($formdata['subject']);

print '<p>A new review titled ' . $subject . ' has been posted online for the item ' . $prodname . ' (' . $prodid . ').</p>' . $eol . $eol;

if (empty($reqauth)) {

    print '<p>This review was automatically set to display.</p>' . $eol . $eol;

    print '<p>Login to the management interface and use the administrative Reviews function to manage reviews, and review settings.</p>' . $eol . $eol;

} else {

    print '<p>This review is awaiting approval.  To publish this review, update the Status for the review.</p>' . $eol . $eol;

    print '<p>Login to the management interface and use the administrative Reviews function to manage reviews, and review settings.</p>' . $eol . $eol;

} // End of if statement.

?>","sales@dorotape.co.uk","sales@dorotape.co.uk","Review Submission","","","","","",""
