"id","app","stringmsg","msgtype","stringdisp","interface"
"ecom.purchordmanvendornone","ecom","purchordmanvendornone","ERROR","Select a vendor from the vendor selection list to create a new purchase order.","BackEnd"
"ecom.quoteaccept","ecom","quoteaccept","CONFIRM","Thank you.  Your quote has been submitted.",""
"ecom.refundcreditconf","ecom","refundcreditconf","CONFIRM","Thank you.  The credit you referenced has been refunded.  Process any applicable refund payments using a payment processing gateway, or issue a check.","BackEnd"
"ecom.refundcrediterr","ecom","refundcrediterr","ERROR","The credit you referenced is not valid, or cannot be refunded.  Please try again.","BackEnd"
"ecom.reviewnotifydrop","ecom","reviewnotifydrop","NOTIFY","You have marked an order which contained dropship items as reviewed.  Request shipping from the vendor as required.","BackEnd"
"ecom.reviewsdelay","ecom","reviewsdelay","CONFIRM","Thank you.  Your review has been submitted and is currently under review.  Your review will be displayed when approved.",""
"ecom.reviewserracc","ecom","reviewserracc","ERROR","You must be logged into an account to submit a review.  Please login to an account and try again.",""
"ecom.reviewserrdup","ecom","reviewserrdup","ERROR","You have already reviewed this item.  You are only permitted to review each item in our online store once.",""
"ecom.reviewsnow","ecom","reviewsnow","CONFIRM","Thank you.  Your review has been submitted and is currently being displayed.",""
"ecom.shippingestimatorconf","ecom","shippingestimatorconf","CONFIRM","Thank you.  Your location has been saved, and your shipping estimate is now ready.",""
"ecom.storeinactive","ecom","storeinactive","ERROR","The online store is currently closed for maintenance.  Please check back again later.",""
"ecom.trackerror","ecom","trackerror","ERROR","An error was encountered while obtaining tracking information.  Please try again later.",""
"ecom.tracknoagree","ecom","tracknoagree","ERROR","You must agree to the terms and conditions in order to view package tracking information.",""
"ecom.xmodcustomerviewercustres","ecom","xmodcustomerviewercustres","CONFIRM","The customer information below was located based on your search criteria.",""
"ecom.xmodcustomerviewercustreserr","ecom","xmodcustomerviewercustreserr","ERROR","Customer information could not be located based on your search criteria.  Please try again.",""
"ecom.xmodcustomerviewerdaterangeerr","ecom","xmodcustomerviewerdaterangeerr","ERROR","The following date range selection errors were encountered:",""
"ecom.xmodcustomerviewerpricelisterr","ecom","xmodcustomerviewerpricelisterr","ERROR","A price list could not be generated based on the customer information present in your request.  Please try again.",""
"ecom.xmodcustomerviewerpricelistnooffers","ecom","xmodcustomerviewerpricelistnooffers","ERROR","A price list could not be generated.  Valid product offers were not located for this customer account.  Please try again.",""
