"What we need",Product,Option,"Website code","What you wrote","Why we could not action it"
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Image Flex Pro Soft White 4030",,4030,"IMAPSW500 / IMAPSW750","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Image Flex Turbo Print 4036",,4036,"IMATP500 / IMATP750","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Image Flex Turbo Print Sub Block 4010",,4010,"IMAPSB500 / IMAPSB750","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Magnetic Tape","Choose quantity — 12.7mm 1 pack of 5 rolls",MT-sz02,"MAGTAP / MAGTAP3","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Magnetic Tape","Choose quantity — 25.4mm 1 pack of 5 rolls",MT-sz04,"MAGTAP2 / MAGTAP4","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Mimaki Smart Knives",,MSK-sz01,"MSK300V / MSK500V / MSK500F / MSK750F","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Mutoh Smart Knives",,Mutoh_Smart_Knives-sz01,"MSK500V / MSK500F / MSK750F","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Reeded Glass Film :: 1520mm Wide",,RGF,"RGF121520 / RGF061520","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Regusign P20",,P20,"P201200 / P20600","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Regusign PF2",,PF2,"PF2-1200 / PF2-600","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 1370mm x 50m",RJ50STA/F-sz04,RJ50STA/F1370,"You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 1520mm x 50m",RJ50STA/F-sz06,RJ50STA/F1524,"You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 760mm x 50m",RJ50STA/F-sz02,RJ50STA/F760,"You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Ri-Mark Optima 402 Anthracite","or 1260mm wide here — full 50 metre roll",SC402-sz02,"SC4021260 / SC402630","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Ri-Mark Optima 412 Yellow","or 1260mm wide here — full 50 metre roll",SC412-sz02,"SC4121260 / SC412630","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Ri-Mark Optima 420 Orange","or 1260mm wide here — full 50 metre roll",SC420-sz02,"SC4201260 / SC420630","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Ri-Mark Optima 485 Green","or 1260mm wide here — full 50 metre roll",SC485-sz02,"SC4851230 / SC485630","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Ritrama PTA Silver Etch",,PTA,"PTA1520 / PTA1220 / PTA610","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Ritrama PTAS Dark Silver Etch",,PTAS,"PTAS1520 / PTAS1220 / PTAS610","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Ritrama PTF Dusted Etch",,PTF,"PTF1520 / PTF1220 / PTF610","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Slate Charcoal Non-reflective Film :: 1524mm Width",,"SC05 / SC35 / SC50","SC051524 / SC351524 / SC501524","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Stabilo Aquarellable Pencils",,CHI,"CHIW / CHIBLACK / CHIBLUE / CHIYELLOW / CHIMIX","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"2. ONE SAGE CODE, TWO WEBSITE ROWS","Yellow Fluorescent","or 1260mm wide — full 50 mtr roll",7510-sz04,"ORA75101220 / ORA7510610","You gave one code per width, but the website sells each width more than one way (per metre / full roll, or different lengths), so the codes cannot cover every row. Either give a code for each row, or tell us which rows to drop."
"3. SAME CODE GIVEN TO TWO ITEMS","ASLAN DFP07 UltraTack","1370mm x 10m Roll (Grey Adhesive)",DFP07-sz02,DFP07G1370,"You gave DFP07G1370 to more than one row (ASLAN DFP07 UltraTack). A SKU can only sit on one item — please confirm where DFP07G1370 belongs and give a different code for the other."
"3. SAME CODE GIVEN TO TWO ITEMS","ASLAN DFP07 UltraTack","1370mm x 50m Roll (Grey Adhesive)",DFP07-sz04,DFP07G1370,"You gave DFP07G1370 to more than one row (ASLAN DFP07 UltraTack). A SKU can only sit on one item — please confirm where DFP07G1370 belongs and give a different code for the other."
"3. SAME CODE GIVEN TO TWO ITEMS","Green Flock Heat Transfer Vinyl",,400,3820,"You gave 3820 for this item, but 3820 is already live on ""Green Nylo Flex Heat Transfer Vinyl"". Please confirm which product it belongs to."
"3. SAME CODE GIVEN TO TWO ITEMS","Plotter Pens","To fit Mutoh cutters","PLO PLO1 PLO2-sz02",PLO1,"You gave PLO1 to more than one row (Plotter Pens). A SKU can only sit on one item — please confirm where PLO1 belongs and give a different code for the other."
"3. SAME CODE GIVEN TO TWO ITEMS","Plotter Pens","To fit Roland cutters","PLO PLO1 PLO2-sz01",PLO1,"You gave PLO1 to more than one row (Plotter Pens). A SKU can only sit on one item — please confirm where PLO1 belongs and give a different code for the other."
"3. SAME CODE GIVEN TO TWO ITEMS","Roland Eco Sol Max 2 Inks","Roland Eco Sol Max 2 220cc Metallic",10002-sz09,ROLINKM2009,"You gave ROLINKM2009 to more than one row (Roland Eco Sol Max 2 Inks / Roland Eco Sol Max 3 Inks). A SKU can only sit on one item — please confirm where ROLINKM2009 belongs and give a different code for the other."
"3. SAME CODE GIVEN TO TWO ITEMS","Roland Eco Sol Max 2 Inks","Roland Eco Sol Max 2 220cc White",10002-sz08,ROLINKM2008,"You gave ROLINKM2008 to more than one row (Roland Eco Sol Max 2 Inks / Roland Eco Sol Max 3 Inks). A SKU can only sit on one item — please confirm where ROLINKM2008 belongs and give a different code for the other."
"3. SAME CODE GIVEN TO TWO ITEMS","Roland Eco Sol Max 2 Inks","Roland Eco Sol Max 2 Cleaning Cartridge",10002-sz10,ROLCLEAN-2,"You gave ROLCLEAN-2 to more than one row (Roland Eco Sol Max 2 Inks / Roland Eco Sol Max 3 Inks). A SKU can only sit on one item — please confirm where ROLCLEAN-2 belongs and give a different code for the other."
"3. SAME CODE GIVEN TO TWO ITEMS","Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 2 220cc Metallic",10003-sz13,ROLINKM2009,"You gave ROLINKM2009 to more than one row (Roland Eco Sol Max 2 Inks / Roland Eco Sol Max 3 Inks). A SKU can only sit on one item — please confirm where ROLINKM2009 belongs and give a different code for the other."
"3. SAME CODE GIVEN TO TWO ITEMS","Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 2 220cc White",10003-sz12,ROLINKM2008,"You gave ROLINKM2008 to more than one row (Roland Eco Sol Max 2 Inks / Roland Eco Sol Max 3 Inks). A SKU can only sit on one item — please confirm where ROLINKM2008 belongs and give a different code for the other."
"3. SAME CODE GIVEN TO TWO ITEMS","Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 2 Cleaning Cartridge",10003-sz14,ROLCLEAN-2,"You gave ROLCLEAN-2 to more than one row (Roland Eco Sol Max 2 Inks / Roland Eco Sol Max 3 Inks). A SKU can only sit on one item — please confirm where ROLCLEAN-2 belongs and give a different code for the other."
"4. WAITING ON SAGE SET-UP","Banner Hemming Tape",,"CT35 (obsolete)",46525HEMTAPE,"Two products cannot share one SKU, and 46525 is the Doro-Fix 465 25mm code — so the site uses 46525HEMTAPE as you suggested. Once you create 46525HEMTAPE in Sage this line is closed."
