"id","name","description","fieldtype","fieldinclude","required","fieldorder","section","optsel"
"Col_C_QB","Choose Colour Below","<p class=""strong"">View Colours Available</p><p><a title=""Colours Available"" href=""media/ecom/colour_swatches/QBB_Col.jpg"" rel=""fancybox""><img src=""media/ecom/colour_swatches/colour_link.jpg"" /></a></p>","SELECT-CUSTOM","","1","1","Item Options",""
"Col_C_RIT670","Choose Colour Below","","SELECT-CUSTOM","","1","1","Item Options","3026 :: Sunflower Yellow|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7166 :: Bright Orange|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
8434 :: Splash Red|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7085 :: Cardinal Red|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3014 :: Velvet Red|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7955 :: Chianti|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7652 :: Medieval Wine|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3019 :: Pink Panter|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3025 :: Fuchsia|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7007 :: Magenta|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
8228 :: Butterfly Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3018 :: Light Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7027 :: Olympic Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
8542 :: Intense Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7243 :: Vivid Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3016 :: Whale Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3023 :: Deep Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3008 :: Ink Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7084 :: Sapphire Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
8924 :: Light Navy|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7583 :: Aqua Mist|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3012 :: Esmeralda|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
8462 :: Aquamarine|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7921 :: Teal Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3007 :: Lambo Green|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
8931 :: Blade Green|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7245 :: Medium Green|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3022 :: Irish Green|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7650 :: Taupe|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7485 :: Dawg Brown|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7242 :: Brown|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7251 :: Ivory|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7116 :: Dove Grey|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7936 :: Dorian Grey|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7154 :: Marble Grey|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
8926 :: Dark Granite|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7083 :: Dark Grey|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_RM","Choose Colour Below","Please choose colour below","SELECT-CUSTOM","","1","10","Item Options","RI-210 :: SILVER|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
RI-220 :: GOLD|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_SCV","Colour","Choose Colour of Material","SELECT-CUSTOM","","1","10","Item Options","4519 :: Clear|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
4520 :: White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_SFXD","Choose Colour Below","<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">VIEW COLOURS: (click to enlarge):</span><br>

<a href=""media/ecom/prodxl/VinylEfx-SmoothSilver-2018.jpg"" rel=""lightbox clearbox"" title=""Smooth Silver E3101""><img src=""media/ecom/prodsm/VinylEfx-SmoothSilver-2018.jpg"" /></a>

<a href=""media/ecom/prodxl/VinylEfx-SmoothGold-2018.jpg"" rel=""lightbox clearbox"" title=""Smooth Gold E3102""><img src=""media/ecom/prodsm/VinylEfx-SmoothGold-2018.jpg"" /></a>

<a href=""media/ecom/prodxl/VinylEfx-FB-Silver-2018.jpg"" rel=""lightbox clearbox"" title=""Fine Brushed Silver E6501""><img src=""media/ecom/prodsm/VinylEfx-FB-Silver-2018.jpg"" /></a>

<a href=""media/ecom/prodxl/VinylEfx-FB-Gold-2018.jpg"" rel=""lightbox clearbox"" title=""Fine Brushed Gold E6502""><img src=""media/ecom/prodsm/VinylEfx-FB-Gold-2018.jpg"" /></a>

<a href=""media/ecom/prodxl/VinylEfx-DiamondPlateSilver-2018.jpg"" rel=""lightbox clearbox"" title=""Diamond Plate Silver EK301""><img src=""media/ecom/prodsm/VinylEfx-DiamondPlateSilver-2018.jpg"" /></a>

<a href=""media/ecom/prodxl/VinylEfx-FlorentineGold-2018.jpg"" rel=""lightbox clearbox"" title=""Florentine Gold E4402""><img src=""media/ecom/prodsm/VinylEfx-FlorentineGold-2018.jpg"" /></a>

<a href=""media/ecom/prodxl/VinylEfx-HammeredGold-2018.jpg"" rel=""lightbox clearbox"" title=""Hammered Gold EJ264""><img src=""media/ecom/prodsm/VinylEfx-HammeredGold-2018.jpg"" /></a>

<a href=""media/ecom/prodxl/VinylEfx-EngineTurnGold-2018.jpg"" rel=""lightbox clearbox"" title=""Engine Turn Gold E1967""><img src=""media/ecom/prodsm/VinylEfx-EngineTurnGold-2018.jpg"" /></a>

<br><br>
<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">PLEASE SELECT REQUIRED COLOUR BELOW:</span>","RADIO-CUSTOM","","1","10","Item Options","Smooth Silver Durable E3101|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Smooth Gold Durable E3102|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Fine Brushed Silver Durable E6501|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Fine Brushed Gold Durable E6502|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Diamond Plate Durable EK301|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Florentine Gold Durable E4402|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Hammered Leaf Gold Durable EJ264|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Engine Turn Gold Durable E1967|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_SFXD_1220","Choose Colour Below","<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">VIEW COLOURS: (click to enlarge):</span><br>

<a href=""media/ecom/prodxl/VinylEfx-SmoothSilver-2018.jpg"" rel=""lightbox clearbox"" title=""Smooth Silver E3101""><img src=""media/ecom/prodsm/VinylEfx-SmoothSilver-2018.jpg"" /></a>

<a href=""media/ecom/prodxl/VinylEfx-SmoothGold-2018.jpg"" rel=""lightbox clearbox"" title=""Smooth Gold E3102""><img src=""media/ecom/prodsm/VinylEfx-SmoothGold-2018.jpg"" /></a>

<a href=""media/ecom/prodxl/VinylEfx-FB-Silver-2018.jpg"" rel=""lightbox clearbox"" title=""Fine Brushed Silver E6501""><img src=""media/ecom/prodsm/VinylEfx-FB-Silver-2018.jpg"" /></a>

<a href=""media/ecom/prodxl/VinylEfx-FB-Gold-2018.jpg"" rel=""lightbox clearbox"" title=""Fine Brushed Gold E6502""><img src=""media/ecom/prodsm/VinylEfx-FB-Gold-2018.jpg"" /></a>

<br><br>
<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">PLEASE SELECT REQUIRED COLOUR BELOW:</span>","RADIO-CUSTOM","","1","10","Item Options","Smooth Silver Durable E3101|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Smooth Gold Durable E3102|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Fine Brushed Silver Durable E6501|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Fine Brushed Gold Durable E6502|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_SFXP","Choose Colour Below","<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">VIEW COLOURS: (click to enlarge):</span><br>

<a href=""media/ecom/prodxl/decorative_brite_overall_silver.jpg"" rel=""lightbox clearbox"" title=""Brite Overall 7901""><img src=""media/ecom/prodsm/decorative_brite_overall_silver.jpg"" /></a>

<a href=""media/ecom/prodxl/decorative_fine_brushed_silver.jpg"" rel=""lightbox clearbox"" title=""Fine Brushed Silver 6501""><img src=""media/ecom/prodsm/decorative_fine_brushed_silver.jpg"" /></a><br>

<a href=""media/ecom/prodxl/decorative_florentine_silver.jpg"" rel=""lightbox clearbox"" title=""Florentine Silver 4401""><img src=""media/ecom/prodsm/decorative_florentine_silver.jpg"" /></a>

<a href=""media/ecom/prodxl/decorative_florentine_gold.jpg"" rel=""lightbox clearbox"" title=""Florentine Gold 4402""><img src=""media/ecom/prodsm/decorative_florentine_gold.jpg"" /></a>

<br><br>
<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">PLEASE SELECT REQUIRED COLOUR BELOW:</span>","RADIO-CUSTOM","","1","10","Item Options","7901 Brite Overall Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
6501 Fine Brush Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
4401 Florentine Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
4402 Florentine Gold|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_SFXPP","Choose Colour Below","<p class=""strong"">View Colours Available</p><p><a title=""Colours Available"" href=""media/ecom/colour_swatches/SFXPP.jpg"" rel=""fancybox""><img src=""media/ecom/colour_swatches/colour_link.jpg"" /></a></p>","RADIO-CUSTOM","","1","10","Item Options","6121PP :: Rainbow|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
6170PP :: Glitter Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
6123PP :: Mosaic Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_SFXP_MMM","Choose Colour Below","<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">VIEW COLOURS: (click to enlarge):</span><br>

<a href=""media/ecom/prodxl/decorative_metal_flake_red.jpg"" rel=""lightbox clearbox"" title=""Metal Flake Red C203""><img src=""media/ecom/prodsm/decorative_metal_flake_red.jpg"" /></a>

<a href=""media/ecom/prodxl/decorative_metal_flake_blue.jpg"" rel=""lightbox clearbox"" title=""Metal Flake Blue C204""><img src=""media/ecom/prodsm/decorative_metal_flake_blue.jpg"" /></a>

<a href=""media/ecom/prodxl/decorative_metal_flake_silver.jpg"" rel=""lightbox clearbox"" title=""Metal Flake Silver C201""><img src=""media/ecom/prodsm/decorative_metal_flake_silver.jpg"" /></a>

<a href=""media/ecom/prodxl/decorative_metal_flake_gold.jpg"" rel=""lightbox clearbox"" title=""Metal Flake Gold C202""><img src=""media/ecom/prodsm/decorative_metal_flake_gold.jpg"" /></a>

<a href=""media/ecom/prodxl/decorative_multi_lens_galaxy.jpg"" rel=""lightbox clearbox"" title=""Multi Lens Galaxy 7314""><img src=""media/ecom/prodsm/decorative_multi_lens_galaxy.jpg"" /></a>


<br><br>
<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">PLEASE SELECT REQUIRED COLOUR BELOW:</span>","RADIO-CUSTOM","","1","10","Item Options","C203 Cherry Red Metal Flake (6530)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
C204 Royal Blue Metal Flake (6540)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
C201 Silver Metal Flake (6570)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
C202 Gold Metal Flake (6580)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7314 Galaxy Multi Lens|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_SFXP_SSSG","Choose Colour Below","<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">VIEW COLOURS: (click to enlarge):</span><br>

<a href=""media/ecom/prodxl/decorative_smooth_silver.jpg"" rel=""lightbox clearbox"" title=""Smooth Silver 3101""><img src=""media/ecom/prodsm/decorative_smooth_silver.jpg"" /></a>

<a href=""media/ecom/prodxl/decorative_smooth_gold.jpg"" rel=""lightbox clearbox"" title=""Smooth Gold 3102""><img src=""media/ecom/prodsm/decorative_smooth_gold.jpg"" /></a>

<br><br>
<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">PLEASE SELECT REQUIRED COLOUR BELOW:</span>","RADIO-CUSTOM","","1","10","Item Options","3101 Smooth Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3102 Smooth Gold|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_SGE","Choose Colour Below","<p class=""strong"">View Colours Available</p><p><a title=""Colours Available"" href=""media/ecom/colselxl/Etch.jpg"" rel=""fancybox""><img src=""media/ecom/colour_swatches/colour_link.jpg"" /></a></p>","SELECT-CUSTOM","","1","10","Item Options","PTG Green (5620)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
PTB Blue (5640)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_SP","Choose Colour Below","<p class=""strong"">View Colours Available</p><p><a title=""Colours Available"" href=""media/ecom/colour_swatches/SparkPlus_Col.jpg"" rel=""fancybox""><img src=""media/ecom/colour_swatches/colour_link.jpg"" /></a></p>","SELECT-CUSTOM","","1","10","Item Options","PRO51 :: Spectrum|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
PRO52 :: Sparkle Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
PRO53 :: Sparkle Gold|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
PRO59 :: Sparkle Pink|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_SSM","Choose Colour Below","<p class=""strong"">View Colours Available</p><p><a title=""Colours Available"" href=""media/ecom/colour_swatches/SS_POLY.jpg"" rel=""fancybox""><img src=""media/ecom/colour_swatches/colour_link.jpg"" /></a></p>","SELECT-CUSTOM","","1","10","Item Options","6000 :: Mirror Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
6001 :: Mirror Gold|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_Toolbelt","Choose Colour Below","Please select colour:","SELECT-CUSTOM","","1","1","Item Options","Black Tool Belt|24.20|0.00|0|STANDARD|STANDARD|STANDARD|
Pink Tool Belt|30.30|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_Transparent_Dichroic","Choose Colour Below","<span style=""font-weight: bold; color: rgb(153, 186, 58);""> IF YOU'RE NOT SURE ABOUT THE COLOUR, CALL US ON<br><big>01858 431642</big> AND WE'LL SEND YOU A SAMPLE</span><br><br>

<a href=""media/ecom/prodxl/Nebula_Colour_2.jpg"" rel=""lightbox clearbox"" title=""Nebula""><img src=""media/ecom/prodsm/Nebula_Colour_2.jpg"" /></a>

<a href=""media/ecom/prodxl/Corona_Colour.jpg"" rel=""lightbox clearbox"" title=""Corona""><img src=""media/ecom/prodsm/Corona_Colour.jpg"" /></a>

<br><br>
<span
style= ""font-weight: bold; color: rgb(153, 186, 58)"";>PLEASE SELECT REQUIRED COLOUR BELOW:</span>","RADIO-CUSTOM","","1","10","Item Options","Nebula|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Corona|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_TRP","Choose Colour Below","<p class=""strong"">View Colours Available</p><p><a title=""Colours Available"" href=""media/ecom/colselxl/TRP700.jpg"" rel=""fancybox""><img src=""media/ecom/colour_swatches/colour_link.jpg"" /></a></p>","SELECT-CUSTOM","","1","1","Item Options","TRP710 :: Yellow Transparent|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
TRP730 :: Red Transparent|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
TRP750 :: Blue Transparent|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
TRP752 :: Dark Blue Transparent|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
TRP770 :: Green Transparent|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_UF7700","Choose Colour Below","<p class=""strong"">View Colours Available</p><p><a title=""Colours Available"" href=""media/ecom/colour_swatches/UF7700_Col.jpg"" rel=""fancybox""><img src=""media/ecom/colour_swatches/colour_link.jpg"" /></a></p>","SELECT-CUSTOM","","1","10","Item Options","7720 :: Leopard|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7730 :: Snake|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7740 :: Lizard|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_VC104","Choose Colour Below","<span style=""font-weight: bold; color: rgb(153, 186, 58);"">VIEW COLOURS: (click to enlarge):</span><br>

<a href=""media/ecom/prodxl/VC104Red.jpg"" rel=""lightbox clearbox"" title=""VC104 Red""><img src=""media/ecom/prodsm/VC104Red.jpg"" /></a>

<a href=""media/ecom/prodxl/VC104Yellow.jpg"" rel=""lightbox clearbox"" title=""VC104 Yellow""><img src=""media/ecom/prodsm/VC104Yellow.jpg"" /></a>

<a href=""media/ecom/prodxl/VC104White.jpg"" rel=""lightbox clearbox"" title=""VC104 White""><img src=""media/ecom/prodsm/VC104White.jpg"" /></a>


<br><br>
<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">PLEASE SELECT REQUIRED COLOUR BELOW:</span>","SELECT-CUSTOM","","1","1","Item Options","Red|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Yellow|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_VC312","Choose Colour Below","<html>
<body>
<span style=""font-weight: bold; color: rgb(153, 186, 58);"">VIEW COLOURS: (click to enlarge):</span><br>

<a href=""media/ecom/prodxl/VC612Red.jpg"" rel=""lightbox clearbox"" title=""VC612 Red""><img src=""media/ecom/prodsm/VC612Red.jpg"" /></a>

</body>
</html>","SELECT-CUSTOM","","1","1","Item Options","312-12 :: Red|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_dfp07","Select White or Clear","Please select either white or clear below","RADIO-CUSTOM","","1","1","Available in White & Clear","Aslan DFP07 Gloss White|0|0.00|0|STANDARD|STANDARD|STANDARD|
Aslan DFP06 Transparent|0|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_ESM","Choose Colour Below","","SELECT-CUSTOM","","1","10","Item Options","Cyan|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Magenta|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Yellow|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Black|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Light Cyan|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Light Magenta|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_MN_FF6300","Choose Colour Below","<p class=""strong"">View Colours Available</p><p><a title=""Colours Available"" href=""media/ecom/colour_swatches/Fast_flex_met&neon.jpg"" rel=""fancybox""><img src=""media/ecom/colour_swatches/colour_link.jpg"" /></a></p>","SELECT-CUSTOM","","1","10","Item Options","6335 :: Neon Pink|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
6370 :: Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
6380 :: Gold|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_M_PF8800","Choose Colour Below","<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">VIEW COLOURS: (click to enlarge):</span><br><br>

<a href=""media/ecom/prodxl/420_Gold.png"" rel=""lightbox clearbox"" title=""420 Gold Metallic""><img src=""media/ecom/prodsm/420_Gold.png""/></a>

<a href=""media/ecom/prodxl/430_Silver.png"" rel=""lightbox clearbox"" title=""430 Silver Metallic""><img src=""media/ecom/prodsm/430_Silver.png""/></a>


<br><br>
<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">PLEASE SELECT REQUIRED COLOUR BELOW:</span>
","SELECT-CUSTOM","","1","10","Item Options","Gold 420 (8880)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Silver 430 (8870)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_M_RIT670","Choose Colour Below","","SELECT-CUSTOM","","1","1","Item Options","3015 :: Grey Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3013 :: Metallic Grey|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3020 :: Anthracite|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7254 :: Gold|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3011 :: Lemon Yellow|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3009 :: Yellow|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
3021 :: Sun Yellow|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
 3010 :: Summer Yellow|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
 8550 :: Fire Engine Red|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7654 :: Arrest Me Red|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
8237 :: Purple Passion|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7020 :: Laurel|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_N_PF8800","Choose Colour Below","<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">VIEW COLOURS: (click to enlarge):</span><br><br>

<a href=""media/ecom/prodxl/403_Neon_Blue.png"" rel=""lightbox clearbox"" title=""403 Neon Blue""><img src=""media/ecom/prodsm/403_Neon_Blue.png"" width=""80"" height=""80"" /></a>

<a href=""media/ecom/prodxl/440_Neon_Yellow.png"" rel=""lightbox clearbox"" title=""440 Neon Yellow""><img src=""media/ecom/prodsm/440_Neon_Yellow.png"" width=""80"" height=""80"" /></a>

<a href=""media/ecom/prodxl/441_Neon_Green.png"" rel=""lightbox clearbox"" title=""441 Neon Green""><img src=""media/ecom/prodsm/441_Neon_Green.png"" width=""80"" height=""80"" /></a>

<a href=""media/ecom/prodxl/442_Neon_Orange.png"" rel=""lightbox clearbox"" title=""442 Neon Orangee""><img src=""media/ecom/prodsm/442_Neon_Orange.png"" width=""80"" height=""80"" /></a>

<a href=""media/ecom/prodxl/443_Neon_Pink.png"" rel=""lightbox clearbox"" title=""443 Neon Pink""><img src=""media/ecom/prodsm/443_Neon_Pink.png"" width=""80"" height=""80"" /></a>

<br><br>
<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">PLEASE SELECT REQUIRED COLOUR BELOW:</span>
","SELECT-CUSTOM","","1","10","Item Options","Neon Yellow 440 (8857)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Neon Green 441 (8827)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Neon Orange 442 (8837)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Neon Pink 443 (8835)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Neon Blue 403 (8842) |0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_Roland_Ink","Select Colour & Size Below","Choose as many items as you like from the list.  Your total will change each time you add an item.","CHECKBOX-CUSTOM","","1","10","Item Options","Roland Eco Sol Max 440cc Cyan|112.40|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 440cc Magenta|112.40|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 440cc Yellow|112.40|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 440cc Black|112.40|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 220cc Cyan|71.10|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 220cc Magenta|71.10|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 220cc Yellow|71.10|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 220cc Black|71.10|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 220cc Light Cyan|71.10|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max Cleaning Cartridge|79.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_Roland_Ink_2","Select Colour & Size Below","Choose as many items as you like from the list.  Your total will change each time you add an item.","CHECKBOX-CUSTOM","","1","10","Item Options","Roland Eco Sol Max 2 440cc Cyan|111.30|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 2 440cc Magenta|111.30|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 2 440cc Yellow|111.30|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 2 440cc Black|111.30|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 2 440cc Light Cyan|111.30|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 2 440cc Light Magenta|111.30|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 2 220cc White|95.40|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 2 220cc Metallic|214.20|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 2 Cleaning Cartridge|63.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_Roland_Ink_3","Select Colour & Size Below","Choose as many items as you like from the list.  Your total will change each time you add an item.","CHECKBOX-CUSTOM","","1","10","Item Options","Roland Eco Sol Max 3 500cc Cyan|112.40|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 3 500cc Magenta|112.40|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 3 500cc Yellow|112.40|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 3 500cc Black|112.40|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 3 220cc Cyan|71.10|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 3 220cc Magenta|71.10|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 3 220cc Yellow|71.10|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 3 220cc Black|71.10|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 2 220cc White|95.40|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 2 220cc Metallic|214.20|0.00|0|STANDARD|STANDARD|STANDARD|
Roland Eco Sol Max 2 Cleaning Cartridge|63.00|0.00|0|STANDARD|STANDARD|STANDARD|"
