Type,SKU,Regular price,Sale price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_price_tiers,Published,Visibility in catalog,In stock?,Backorders allowed?
variation,6985-sz06,1.22,,6985,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,6986-sz01,6.64,,6986,Size / Format,Select quantity required — per metre,1,1,,1,visible,1,0
variation,6986-sz02,132.75,,6986,Size / Format,Select quantity required — per 25 metre roll,1,1,,1,visible,1,0
variation,6986-sz03,6.43,,6986,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,6986-sz04,2.52,,6986,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,6986-sz05,1.62,,6986,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,6986-sz06,1.22,,6986,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,6988-sz01,6.64,,6988,Size / Format,Select quantity required — per metre,1,1,,1,visible,1,0
variation,6988-sz02,132.75,,6988,Size / Format,Select quantity required — per 25 metre roll,1,1,,1,visible,1,0
variation,6988-sz03,6.43,,6988,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,6988-sz04,2.52,,6988,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,6988-sz05,1.62,,6988,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,6988-sz06,1.22,,6988,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,6989-sz01,6.64,,6989,Size / Format,Select quantity required — per metre,1,1,,1,visible,1,0
variation,6989-sz02,132.75,,6989,Size / Format,Select quantity required — per 25 metre roll,1,1,,1,visible,1,0
variation,6989-sz03,6.43,,6989,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,6989-sz04,2.52,,6989,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,6989-sz05,1.62,,6989,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,6989-sz06,1.22,,6989,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,6995-sz01,6.64,,6995,Size / Format,Select quantity required — per metre,1,1,,1,visible,1,0
variation,6995-sz02,132.75,,6995,Size / Format,Select quantity required — per 25 metre roll,1,1,,1,visible,1,0
variation,6995-sz03,6.43,,6995,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,6995-sz04,2.52,,6995,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,6995-sz05,1.62,,6995,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,6995-sz06,1.22,,6995,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,6996-sz01,6.99,,6996,Size / Format,500mm wide — per metre,1,1,,1,visible,1,0
variation,6996-sz02,153.75,,6996,Size / Format,500mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,6996-sz03,6.92,,6996,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,6996-sz04,2.60,,6996,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,6996-sz05,1.75,,6996,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,6996-sz06,1.32,,6996,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,6997-sz01,6.64,,6997,Size / Format,Select quantity required — per metre,1,1,,1,visible,1,0
variation,6997-sz02,132.75,,6997,Size / Format,Select quantity required — per 25 metre roll,1,1,,1,visible,1,0
variation,6997-sz03,6.43,,6997,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,6997-sz04,2.52,,6997,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,6997-sz05,1.62,,6997,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,6997-sz06,1.22,,6997,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,6998-sz01,6.64,,6998,Size / Format,Select quantity required — per metre,1,1,,1,visible,1,0
variation,6998-sz02,132.75,,6998,Size / Format,Select quantity required — per 25 metre roll,1,1,,1,visible,1,0
variation,6998-sz03,6.43,,6998,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,6998-sz04,2.52,,6998,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,6998-sz05,1.62,,6998,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,6998-sz06,1.22,,6998,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,7591-sz01,11.76,,7591,Size / Format,Size / Format — per metre,1,1,,1,visible,1,0
variation,7591-sz02,264.50,,7591,Size / Format,Size / Format — per 25 metre roll,1,1,,1,visible,1,0
variation,7591-sz03,23.52,,7591,Size / Format,or 1220mm wide — per metre,1,1,,1,visible,1,0
variation,7591-sz04,529.00,,7591,Size / Format,or 1220mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,7591-sz05,1.56,,7591,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,7591-sz06,3.52,,7591,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,7591-sz07,4.89,,7591,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,7591-sz08,5.03,,7591,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,7591-sz09,25.15,,7591,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,7591-sz10,6.99,,7591,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,7591-sz11,34.95,,7591,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,7591-sz12,11.19,,7591,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,7591-sz13,55.95,,7591,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,7667-sz01,11.76,,7667,Size / Format,Size / Format — per metre,1,1,,1,visible,1,0
variation,7667-sz02,264.50,,7667,Size / Format,Size / Format — per 25 metre roll,1,1,,1,visible,1,0
variation,7667-sz03,23.52,,7667,Size / Format,or 1220mm wide — per metre,1,1,,1,visible,1,0
variation,7667-sz04,529.00,,7667,Size / Format,or 1220mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,7667-sz05,1.56,,7667,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,7667-sz06,3.52,,7667,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,7667-sz07,4.89,,7667,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,7667-sz08,5.03,,7667,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,7667-sz09,25.15,,7667,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,7667-sz10,6.99,,7667,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,7667-sz11,34.95,,7667,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,7667-sz12,11.19,,7667,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,7667-sz13,55.95,,7667,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,7668-sz01,11.76,,7668,Size / Format,Size / Format — per metre,1,1,,1,visible,1,0
variation,7668-sz02,264.50,,7668,Size / Format,Size / Format — per 25 metre roll,1,1,,1,visible,1,0
variation,7668-sz03,23.52,,7668,Size / Format,or 1220mm wide — per metre,1,1,,1,visible,1,0
variation,7668-sz04,529.00,,7668,Size / Format,or 1220mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,7668-sz05,1.56,,7668,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,7668-sz06,3.52,,7668,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,7668-sz07,4.89,,7668,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,7668-sz08,5.03,,7668,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,7668-sz09,25.15,,7668,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,7668-sz10,6.99,,7668,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,7668-sz11,34.95,,7668,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,7668-sz12,11.19,,7668,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,7668-sz13,55.95,,7668,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,7669-sz01,11.76,,7669,Size / Format,Size / Format — per metre,1,1,,1,visible,1,0
variation,7669-sz02,264.50,,7669,Size / Format,Size / Format — per 25 metre roll,1,1,,1,visible,1,0
variation,7669-sz03,23.52,,7669,Size / Format,or 1220mm wide — per metre,1,1,,1,visible,1,0
variation,7669-sz04,529.00,,7669,Size / Format,or 1220mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,7669-sz05,1.56,,7669,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,7669-sz06,3.52,,7669,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,7669-sz07,4.89,,7669,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,7669-sz08,5.03,,7669,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,7669-sz09,25.15,,7669,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,7669-sz10,6.99,,7669,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,7669-sz11,34.95,,7669,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,7669-sz12,11.19,,7669,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,7669-sz13,55.95,,7669,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,7671-sz01,11.76,,7671,Size / Format,Size / Format — per metre,1,1,,1,visible,1,0
variation,7671-sz02,264.50,,7671,Size / Format,Size / Format — per 25 metre roll,1,1,,1,visible,1,0
variation,7671-sz03,23.52,,7671,Size / Format,or 1220mm wide — per metre,1,1,,1,visible,1,0
variation,7671-sz04,529.00,,7671,Size / Format,or 1220mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,7671-sz05,1.56,,7671,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,7671-sz06,3.52,,7671,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,7671-sz07,4.89,,7671,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,7671-sz08,5.03,,7671,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,7671-sz09,25.15,,7671,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,7671-sz10,6.99,,7671,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,7671-sz11,34.95,,7671,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,7671-sz12,11.19,,7671,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,7671-sz13,55.95,,7671,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,7673-sz01,11.76,,7673,Size / Format,Size / Format — per metre,1,1,,1,visible,1,0
variation,7673-sz02,264.50,,7673,Size / Format,Size / Format — per 25 metre roll,1,1,,1,visible,1,0
variation,7673-sz03,23.52,,7673,Size / Format,or 1220mm wide — per metre,1,1,,1,visible,1,0
variation,7673-sz04,529.00,,7673,Size / Format,or 1220mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,7673-sz05,1.56,,7673,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,7673-sz06,3.52,,7673,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,7673-sz07,4.89,,7673,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,7673-sz08,5.03,,7673,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,7673-sz09,25.15,,7673,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,7673-sz10,6.99,,7673,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,7673-sz11,34.95,,7673,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,7673-sz12,11.19,,7673,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,7673-sz13,55.95,,7673,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,7684-sz01,11.76,,7684,Size / Format,Size / Format — per metre,1,1,,1,visible,1,0
variation,7684-sz02,264.50,,7684,Size / Format,Size / Format — per 25 metre roll,1,1,,1,visible,1,0
variation,7684-sz03,23.52,,7684,Size / Format,or 1220mm wide — per metre,1,1,,1,visible,1,0
variation,7684-sz04,529.00,,7684,Size / Format,or 1220mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,7684-sz05,1.56,,7684,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,7684-sz06,3.52,,7684,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,7684-sz07,4.89,,7684,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,7684-sz08,5.03,,7684,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,7684-sz09,25.15,,7684,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,7684-sz10,6.99,,7684,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,7684-sz11,34.95,,7684,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,7684-sz12,11.19,,7684,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,7684-sz13,55.95,,7684,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,7946-sz01,11.76,,7946,Size / Format,Size / Format — per metre,1,1,,1,visible,1,0
variation,7946-sz02,264.50,,7946,Size / Format,Size / Format — per 25 metre roll,1,1,,1,visible,1,0
variation,7946-sz03,23.52,,7946,Size / Format,or 1220mm wide — per metre,1,1,,1,visible,1,0
variation,7946-sz04,529.00,,7946,Size / Format,or 1220mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,7946-sz05,1.56,,7946,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,7946-sz06,3.52,,7946,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,7946-sz07,4.89,,7946,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,7946-sz08,5.03,,7946,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,7946-sz09,25.15,,7946,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,7946-sz10,6.99,,7946,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,7946-sz11,34.95,,7946,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,7946-sz12,11.19,,7946,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,7946-sz13,55.95,,7946,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,8220-sz01,11.76,,8220,Size / Format,Size / Format — per metre,1,1,,1,visible,1,0
variation,8220-sz02,264.50,,8220,Size / Format,Size / Format — per 25 metre roll,1,1,,1,visible,1,0
variation,8220-sz03,23.52,,8220,Size / Format,or 1220mm wide — per metre,1,1,,1,visible,1,0
variation,8220-sz04,529.00,,8220,Size / Format,or 1220mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,8220-sz05,1.56,,8220,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,8220-sz06,3.52,,8220,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,8220-sz07,4.89,,8220,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,8220-sz08,5.03,,8220,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,8220-sz09,25.15,,8220,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,8220-sz10,6.99,,8220,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,8220-sz11,34.95,,8220,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,8220-sz12,11.19,,8220,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,8220-sz13,55.95,,8220,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,8774-sz01,11.76,,8774,Size / Format,Size / Format — per metre,1,1,,1,visible,1,0
variation,8774-sz02,264.50,,8774,Size / Format,Size / Format — per 25 metre roll,1,1,,1,visible,1,0
variation,8774-sz03,23.52,,8774,Size / Format,or 1220mm wide — per metre,1,1,,1,visible,1,0
variation,8774-sz04,529.00,,8774,Size / Format,or 1220mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,8774-sz05,1.56,,8774,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,8774-sz06,3.52,,8774,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,8774-sz07,4.89,,8774,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,8774-sz08,5.03,,8774,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,8774-sz09,25.15,,8774,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,8774-sz10,6.99,,8774,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,8774-sz11,34.95,,8774,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,8774-sz12,11.19,,8774,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,8774-sz13,55.95,,8774,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,6480-sz01,217.00,,6480,Choose Size Below,1310mm x 50m,1,1,,1,visible,1,0
variation,6480-sz02,394.94,,6480,Choose Size Below,1310mm x 100m,1,1,,1,visible,1,0
variation,6480-sz03,254.00,,6480,Choose Size Below,1530mm x 50m,1,1,,1,visible,1,0
variation,6480-sz04,462.28,,6480,Choose Size Below,1530mm x 100m,1,1,,1,visible,1,0
variation,ANT-sz01,11.40,,ANT,Choose quantity,1 x 500ml,1,1,,1,visible,1,0
variation,ANT-sz02,120.36,,ANT,Choose quantity,12 x 500ml,1,1,,1,visible,1,0
variation,CB75-sz01,86.10,,CB75,Choose Roll Size Below,1370mm x 5m Roll,1,1,,1,visible,1,0
variation,CB75-sz02,774.90,,CB75,Choose Roll Size Below,1370mm x 50m Roll,1,1,,1,visible,1,0
variation,CB90-sz01,73.10,,CB90,Size / Format,1370mm x 5m roll,1,1,,1,visible,1,0
variation,CB90-sz02,657.90,,CB90,Size / Format,1370mm x 50m roll,1,1,,1,visible,1,0
variation,CRB91-sz01,71.20,,CRB91,Choose Roll Size Below,1370mm x 5m roll,1,1,,1,visible,1,0
variation,CRB91-sz02,640.80,,CRB91,Choose Roll Size Below,1370mm x 50m roll,1,1,,1,visible,1,0
variation,CRB91-sz03,79.30,,CRB91,Choose Roll Size Below,1520mm x 5m roll,1,1,,1,visible,1,0
variation,CRB91-sz04,713.70,,CRB91,Choose Roll Size Below,1520mm x 50m roll,1,1,,1,visible,1,0
variation,MP300-sz01,164.60,,MP300,Size / Format,1370mm x 5m roll,1,1,,1,visible,1,0
variation,MP300-sz02,740.70,,MP300,Size / Format,1370mm x 25m roll,1,1,,1,visible,1,0
variation,S62HT-sz01,286.00,,S62HT,Choose Size Below,1250mm x 12.5m,1,1,,1,visible,1,0
variation,S62HT-sz02,554.85,,S62HT,Choose Size Below,1250mm x 25m (Supplied in 2 x 12.5m rolls),1,1,,1,visible,1,0
variation,SL05-sz01,71.00,,SL05,Select Length of Roll,1220mm x 5m Roll,1,1,,1,visible,1,0
variation,SL05-sz02,337.25,,SL05,Select Length of Roll,1220mm x 25m Roll,1,1,,1,visible,1,0
variation,SL109-sz01,71.60,,SL109,Size / Format,1370mm x 10m,1,1,,1,visible,1,0
variation,SL109-sz02,322.20,,SL109,Size / Format,1370mm x 50m,1,1,,1,visible,1,0
variation,SL95-sz01,73.10,,SL95,Size / Format,1370mm x 5m roll,1,1,,1,visible,1,0
variation,SL95-sz02,657.90,,SL95,Size / Format,1370mm x 50m roll,1,1,,1,visible,1,0
variation,SL98-sz01,98.00,,SL98,Size / Format,1250mm x 5m,1,1,,1,visible,1,0
variation,SL98-sz02,470.25,,SL98,Size / Format,1250mm x 25m,1,1,,1,visible,1,0
variation,SL99-sz01,174.80,,SL99,Size / Format,Size / Format — 1370mm x 10m,1,1,,1,visible,1,0
variation,SL99-sz02,786.60,,SL99,Size / Format,Size / Format — 1370mm x 50m,1,1,,1,visible,1,0
variation,SL99-sz03,0.00,,SL99,Size / Format,Size / Format — FREE SAMPLE,1,1,,1,visible,1,0
variation,SRL96-sz01,142.40,,SRL96,Choose Roll Size Below,1370mm x 10m roll,1,1,,1,visible,1,0
variation,SRL96-sz02,640.80,,SRL96,Choose Roll Size Below,1370mm x 50m roll,1,1,,1,visible,1,0
variation,SRL96-sz03,158.60,,SRL96,Choose Roll Size Below,1520mm x 10m roll,1,1,,1,visible,1,0
variation,SRL96-sz04,713.70,,SRL96,Choose Roll Size Below,1520mm x 50m roll,1,1,,1,visible,1,0
variation,DFL20-sz01,43.50,,DFL20,Select Size of Roll,1370mm x 5m Roll,1,1,,1,visible,1,0
variation,DFL20-sz02,391.50,,DFL20,Select Size of Roll,1370mm x 50m Roll,1,1,,1,visible,1,0
variation,DFL20-sz03,48.20,,DFL20,Select Size of Roll,1520mm x 5m Roll,1,1,,1,visible,1,0
variation,DFL20-sz04,433.80,,DFL20,Select Size of Roll,1520mm x 50m Roll,1,1,,1,visible,1,0
variation,DFL200-sz01,163.20,,DFL200,Select Size of Roll,1260mm x 10m Roll,1,1,,1,visible,1,0
variation,DFL200-sz02,734.40,,DFL200,Select Size of Roll,1260mm x 50m Roll,1,1,,1,visible,1,0
variation,DFL300-sz01,142.40,,DFL300,Select Size of Roll,1370mm x 10m Roll,1,1,,1,visible,1,0
variation,DFL300-sz02,640.80,,DFL300,Select Size of Roll,1370mm x 50m Roll,1,1,,1,visible,1,0
variation,DRP071370-sz01,90.80,,DRP071370,Choose Roll Size Below,1370mm x 10m roll,1,1,,1,visible,1,0
variation,DRP071370-sz02,408.60,,DRP071370,Choose Roll Size Below,1370mm x 50m roll,1,1,,1,visible,1,0
variation,ASL-sz01,7.30,,ASL,Choose width,160mm Width,1,1,,1,visible,1,0
variation,ASL-sz02,9.50,,ASL,Choose width,270mm Width,1,1,,1,visible,1,0
variation,WBL995-sz01,158.00,,WBL995,Choose Roll Size Below,1370mm x 5m Roll,1,1,,1,visible,1,0
variation,WBL995-sz02,711.00,,WBL995,Choose Roll Size Below,1370mm x 25m Roll,1,1,,1,visible,1,0
variation,BOSSLAMGLOSS-sz01,74.80,,BOSSLAMGLOSS,Choose Size Below,760mm x 50m Roll,1,1,,1,visible,1,0
variation,BOSSLAMGLOSS-sz02,102.40,,BOSSLAMGLOSS,Choose Size Below,1040mm x 50m Roll,1,1,,1,visible,1,0
variation,BOSSLAMGLOSS-sz03,102.40,,BOSSLAMGLOSS,Choose Size Below,1040mm x 50m Roll,1,1,,1,visible,1,0
variation,BOSSLAMGLOSS-sz04,256.00,,BOSSLAMGLOSS,Choose Size Below,1300mm x 100m Roll,1,1,,1,visible,1,0
variation,BOSSLAMGLOSS-sz05,135.00,,BOSSLAMGLOSS,Choose Size Below,1370mm x 50m Roll,1,1,,1,visible,1,0
variation,BOSSLAMGLOSS-sz06,148.80,,BOSSLAMGLOSS,Choose Size Below,1520mm x 50m Roll,1,1,,1,visible,1,0
variation,C201-sz01,5.62,,C201,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,C201-sz02,226.22,,C201,Size / Format,Size / Format — full 45.7 mtr roll,1,1,,1,visible,1,0
variation,C201-sz03,11.24,,C201,Size / Format,or 1220mm wide — part roll - per mtr,1,1,,1,visible,1,0
variation,C201-sz04,452.43,,C201,Size / Format,or 1220mm wide — full 45.7 mtr roll,1,1,,1,visible,1,0
variation,C201-sz05,0.99,,C201,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,C201-sz06,1.95,,C201,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,C201-sz07,2.79,,C201,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,C201-sz08,2.79,,C201,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,C201-sz09,13.95,,C201,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,C201-sz10,3.99,,C201,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,C201-sz11,19.95,,C201,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,C201-sz12,4.79,,C201,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,C201-sz13,23.95,,C201,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,C202-sz01,5.62,,C202,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,C202-sz02,226.22,,C202,Size / Format,Size / Format — full 45.7 mtr roll,1,1,,1,visible,1,0
variation,C202-sz03,0.99,,C202,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,C202-sz04,1.95,,C202,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,C202-sz05,2.79,,C202,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,C202-sz06,2.79,,C202,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,C202-sz07,13.95,,C202,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,C202-sz08,3.99,,C202,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,C202-sz09,19.95,,C202,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,C202-sz10,4.79,,C202,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,C202-sz11,23.95,,C202,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,C203-sz01,5.62,,C203,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,C203-sz02,226.22,,C203,Size / Format,Size / Format — full 45.7 mtr roll,1,1,,1,visible,1,0
variation,C203-sz03,0.99,,C203,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,C203-sz04,1.95,,C203,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,C203-sz05,2.79,,C203,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,C203-sz06,2.79,,C203,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
