bucket,product,option,website_code,michael_answer,what_we_need
"B. POINTS AT ANOTHER ROW","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 1370mm x 50m",RJ50STA/F-sz04,"REPEAT ROW 71","Your answer refers to another row, so this line still has no code of its own. Please confirm the code for this specific option."
"B. POINTS AT ANOTHER ROW","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 1520mm x 50m",RJ50STA/F-sz06,"REPEAT ROW 72","Your answer refers to another row, so this line still has no code of its own. Please confirm the code for this specific option."
"B. POINTS AT ANOTHER ROW","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 760mm x 50m",RJ50STA/F-sz02,"REPEAT ROW 73","Your answer refers to another row, so this line still has no code of its own. Please confirm the code for this specific option."
"D. OPTIONS NOT BUILT YET","Ri-Mark Optima 402 Anthracite","or 1260mm wide here — full 50 metre roll",SC402-sz02,"SC4021260 / SC402630 / TWO OPTIONS, EACH SOLD BY THE METRE","You gave 2 codes (SC4021260, SC402630) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","Ri-Mark Optima 412 Yellow","or 1260mm wide here — full 50 metre roll",SC412-sz02,"SC4121260 / SC412630 / TWO OPTIONS, EACH SOLD BY THE METRE","You gave 2 codes (SC4121260, SC412630) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","Ri-Mark Optima 420 Orange","or 1260mm wide here — full 50 metre roll",SC420-sz02,"SC4201260 / SC420630 / TWO OPTIONS, EACH SOLD BY THE METRE","You gave 2 codes (SC4201260, SC420630) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","Ri-Mark Optima 485 Green","or 1260mm wide here — full 50 metre roll",SC485-sz02,"SC4851260 / SC485630 / TWO OPTIONS, EACH SOLD BY THE METRE","You gave 2 codes (SC4851260, SC485630) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","Ritrama PTA Silver Etch",,PTA,"PTA1520 / PTA1220 / PTA610 / THREE OPTIONS, EACH SOLD BY THE METRE","You gave 3 codes (PTA1520, PTA1220, PTA610) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","Ritrama PTAS Dark Silver Etch",,PTAS,"PTAS1520 / PTAS1220 / PTAS610 / THREE OPTIONS, EACH SOLD BY THE METRE","You gave 3 codes (PTAS1520, PTAS1220, PTAS610) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","Ritrama PTF Dusted Etch",,PTF,"PTF1520 / PTF1220 / PTF610 / THREE OPTIONS, EACH SOLD BY THE METRE","You gave 3 codes (PTF1520, PTF1220, PTF610) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","Slate Charcoal Non-reflective Film :: 1524mm Width",,"SC05 / SC35 / SC50","SC051524 / SC351524 / SC501524 / THREE OPTIONS, EACH SOLD BY THE METRE","You gave 3 codes (SC051524, SC351524, SC501524) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","Stabilo Aquarellable Pencils",,CHI,"CHIW / CHIBLACK / CHIBLUE / CHIYELLOW / CHIMIX / FIVE OPTIONS, ALL WITH THE SAME PRICE","You gave 5 codes (CHIW, CHIBLACK, CHIBLUE, CHIYELLOW, CHIMIX) but the site has one line here. Confirm the full option list and we will build it."
"G. NO USABLE CODE","Yellow Fluorescent","or 1260mm wide — full 50 mtr roll",7510-sz04,"ORA75101220 / ORA7510610 / TWO OPTIONS, EACH SOLD BY THE METRE","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"D. OPTIONS NOT BUILT YET","ASLAN DFP07 UltraTack","1370mm x 10m Roll (Grey Adhesive)",DFP07-sz02,"DFP071370 / DFP07G1370 / TWO OPTIONS, EACH PRICED IN 10M STEPS","You gave 2 codes (DFP071370, DFP07G1370) but the site has one line here. Confirm the full option list and we will build it."
"B. POINTS AT ANOTHER ROW","ASLAN DFP07 UltraTack","1370mm x 50m Roll (Grey Adhesive)",DFP07-sz04,"SEE ABOVE","Your answer refers to another row, so this line still has no code of its own. Please confirm the code for this specific option."
"G. NO USABLE CODE","Green Flock Heat Transfer Vinyl",,400.0,"SORRY, GREEN FLOCK IS DICONTINUED","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"D. OPTIONS NOT BUILT YET","Plotter Pens","To fit Mutoh cutters","PLO PLO1 PLO2-sz02","PLO / PLO1 / PLO2 / THREE OPTIONS, EACH PRICED INDIVIDUALLY","You gave 3 codes (PLO, PLO1, PLO2) but the site has one line here. Confirm the full option list and we will build it."
"G. NO USABLE CODE","Plotter Pens","To fit Roland cutters","PLO PLO1 PLO2-sz01","SAME PRODUCT AS ABOVE AS CAN BE USED FOR DIFFERENT CUTTERS / https://www.dorotape.co.uk/Item/Plotter_Pen","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"G. NO USABLE CODE","Roland Eco Sol Max 2 Inks","Roland Eco Sol Max 2 220cc Metallic",10002-sz09,"IT IS JUST ONE SKU FOR ONE ITEM. THE ITEM CAN BE USED FOR BOTH SETS OF INKS","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"G. NO USABLE CODE","Roland Eco Sol Max 2 Inks","Roland Eco Sol Max 2 220cc White",10002-sz08,"IT IS JUST ONE SKU FOR ONE ITEM. THE ITEM CAN BE USED FOR BOTH SETS OF INKS","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"G. NO USABLE CODE","Roland Eco Sol Max 2 Inks","Roland Eco Sol Max 2 Cleaning Cartridge",10002-sz10,"IT IS JUST ONE SKU FOR ONE ITEM. THE ITEM CAN BE USED FOR BOTH SETS OF INKS","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"G. NO USABLE CODE","Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 2 220cc Metallic",10003-sz13,"IT IS JUST ONE SKU FOR ONE ITEM. THE ITEM CAN BE USED FOR BOTH SETS OF INKS","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"G. NO USABLE CODE","Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 2 220cc White",10003-sz12,"IT IS JUST ONE SKU FOR ONE ITEM. THE ITEM CAN BE USED FOR BOTH SETS OF INKS","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"G. NO USABLE CODE","Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 2 Cleaning Cartridge",10003-sz14,"IT IS JUST ONE SKU FOR ONE ITEM. THE ITEM CAN BE USED FOR BOTH SETS OF INKS","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"G. NO USABLE CODE","Banner Hemming Tape",,"CT35 (obsolete)","46524HEMTAPE NOW SET UP :)","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
