Status,Product,Option,"Website code (old)","Your SKU / Resolution",Price,"What we did / what we need from you"
"DONE - SAGE CODE APPLIED","Boss Crystal Matt Laminate","1040mm x 100m Roll",BOSSLAMCRYSTAL-sz02,BOSSLAMCRYSTALMATT1040,204.8,"SKU on the site changed from ""BOSSLAMCRYSTAL-sz02"" to your Sage code ""BOSSLAMCRYSTALMATT1040"". No further action needed."
"DONE - SAGE CODE APPLIED","Boss Crystal Matt Laminate","1370mm x 50m Roll",BOSSLAMCRYSTAL-sz03,BOSSLAMCRYSTALMATT1370,134.9,"SKU on the site changed from ""BOSSLAMCRYSTAL-sz03"" to your Sage code ""BOSSLAMCRYSTALMATT1370"". No further action needed."
"DONE - SAGE CODE APPLIED","Boss Crystal Matt Laminate","1520mm x 50m Roll",BOSSLAMCRYSTAL-sz04,BOSSLAMCRYSTALMATT1520,148.8,"SKU on the site changed from ""BOSSLAMCRYSTAL-sz04"" to your Sage code ""BOSSLAMCRYSTALMATT1520"". No further action needed."
"DONE - SAGE CODE APPLIED","Boss Crystal Matt Laminate","650mm x 50m Roll",BOSSLAMCRYSTAL-sz01,BOSSLAMCRYSTALMATT650,70.1,"SKU on the site changed from ""BOSSLAMCRYSTAL-sz01"" to your Sage code ""BOSSLAMCRYSTALMATT650"". No further action needed."
"DONE - SAGE CODE APPLIED","Brass Eyelet Kit",,1895,EYE3,10.48,"SKU on the site changed from ""1895"" to your Sage code ""EYE3"". No further action needed."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz01,,3.54,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz02,,5.73,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz03,,7.98,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz04,,8.19,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz05,,40.95,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz06,,11.4,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz07,,57.0,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz08,,18.24,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz09,,91.2,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"FYI - CODE ALREADY ON THE PRODUCT","Butter Glitter","1220mm wide — per 30 metre roll",GL17-sz11,GL17,987.0,"Sage code ""GL17"" is already set on the main product record, and WooCommerce will not let an option carry the same SKU as its parent. So the code IS on the site, just at product level. Flagging in case you need it on this specific option instead."
"NEEDS DECISION - NOT A SAGE CODE","Butter Glitter","1220mm wide — per metre",GL17-sz10,"Q DISC FOR 30",34.64,"The SKU/Resolution box has an instruction rather than a code (""Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","Contour Squeegee","Green - Soft Flex",S.8-sz03,S.8-CG,6.8,"SKU on the site changed from ""S.8-sz03"" to your Sage code ""S.8-CG"". No further action needed."
"DONE - SAGE CODE APPLIED","Contour Squeegee","Grey - Stiff Flex",S.8-sz01,S.8-CP,6.8,"SKU on the site changed from ""S.8-sz01"" to your Sage code ""S.8-CP"". No further action needed."
"DONE - SAGE CODE APPLIED","Contour Squeegee","Yellow - Medium Flex",S.8-sz02,S.8-CY,6.1,"SKU on the site changed from ""S.8-sz02"" to your Sage code ""S.8-CY"". No further action needed."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz01,,3.54,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz02,,5.73,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz03,,7.98,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz04,,8.19,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz05,,40.95,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz06,,11.4,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz07,,57.0,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz08,,18.24,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz09,,91.2,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"FYI - CODE ALREADY ON THE PRODUCT","Copper Glitter","1220mm wide — per 30 metre roll",GL10-sz11,GL10,987.0,"Sage code ""GL10"" is already set on the main product record, and WooCommerce will not let an option carry the same SKU as its parent. So the code IS on the site, just at product level. Flagging in case you need it on this specific option instead."
"NEEDS DECISION - NOT A SAGE CODE","Copper Glitter","1220mm wide — per metre",GL10-sz10,"Q DISC FOR 30",34.64,"The SKU/Resolution box has an instruction rather than a code (""Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"PLEASE CONFIRM - DELETE FROM SITE?","Corner Rounder",,8004,,202.6,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"DONE - REMOVED FROM SITE","CT35 Aged Golden Pine","full roll - 1220mm x 50 mtr","Cover Styl' CT35-sz02",,1216.8,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","CT35 Aged Golden Pine","part roll - price per mtr at 1220mm","Cover Styl' CT35-sz01",,27.04,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - SAGE CODE APPLIED","D-Jet 200 - Thick and easy to apply",,DJ200,DJ2001400,153.5,"SKU on the site changed from ""DJ200"" to your Sage code ""DJ2001400"". No further action needed."
"DONE - SAGE CODE APPLIED","D-View Micro Perforated Vinyl","1370mm x 50m Roll",D-VIEW-sz02,D-VIEW1370,483.55,"SKU on the site changed from ""D-VIEW-sz02"" to your Sage code ""D-VIEW1370"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","D-View Micro Perforated Vinyl","1370mm x 5m Roll",D-VIEW-sz01,"CLICKER IN 5'S WITH Q DISC FOR 50",50.9,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 50""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","D-View Micro Perforated Vinyl","1520mm x 50m Roll",D-VIEW-sz04,D-VIEW1520,567.15,"SKU on the site changed from ""D-VIEW-sz04"" to your Sage code ""D-VIEW1520"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","D-View Micro Perforated Vinyl","1520mm x 5m Roll",D-VIEW-sz03,"CLICKER IN 5'S WITH Q DISC FOR 50",59.7,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 50""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - REMOVED FROM SITE","D1 Classic Walnut","full roll - 1220mm x 50 mtr","Cover Styl' D1-sz02",,1216.8,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"DONE - REMOVED FROM SITE","D1 Classic Walnut","part roll - price per mtr at 1220mm","Cover Styl' D1-sz01",,27.04,"Removed as confirmed (Cover Styl' colour / obsolete). Listed for your records only."
"NOT APPLIED - PRODUCT REMOVED","DFP07 White Gloss High Tack Digital Print Vinyl :: 500mm x 25m",,BN-20_Digital_Vinyl_High_Tack,DFP07500,110.25,"You gave the Sage code ""DFP07500"", but this product/option is no longer live on the site (it was removed in an earlier round). Please confirm whether it should be reinstated with this code, or stay removed."
"DONE - SAGE CODE APPLIED",Digi-Fab,"1067mm x 15m Roll",DIGI-FAB-sz01,DIGI-FAB1067,139.8,"SKU on the site changed from ""DIGI-FAB-sz01"" to your Sage code ""DIGI-FAB1067"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE",Digi-Fab,"1067mm x 30m Roll",DIGI-FAB-sz02,"CLICKER IN 15'S WITH Q DISC FOR 30",251.64,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 15'S WITH Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED",Digi-Fab,"1370mm x 15m Roll",DIGI-FAB-sz03,DIGI-FAB1370,179.7,"SKU on the site changed from ""DIGI-FAB-sz03"" to your Sage code ""DIGI-FAB1370"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE",Digi-Fab,"1370mm x 30m Roll",DIGI-FAB-sz04,"CLICKER IN 15'S WITH Q DISC FOR 30",323.46,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 15'S WITH Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED",Digi-Fab,"1520mm x 15m Roll",DIGI-FAB-sz05,DIGI-FAB1524,199.5,"SKU on the site changed from ""DIGI-FAB-sz05"" to your Sage code ""DIGI-FAB1524"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE",Digi-Fab,"1520mm x 30m Roll",DIGI-FAB-sz06,"CLICKER IN 15'S WITH Q DISC FOR 30",359.1,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 15'S WITH Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"NOT APPLIED - PRODUCT REMOVED","Digi-Fab Wallcovering and Furniture Wrap Fabric :: 500mm x 15m",,BN-20_Digital_Wall_Wrap,DIGI-FAB500,76.9,"You gave the Sage code ""DIGI-FAB500"", but this product/option is no longer live on the site (it was removed in an earlier round). Please confirm whether it should be reinstated with this code, or stay removed."
"PLEASE CONFIRM - DELETE FROM SITE?","Digital Print Media for Aqueous Inks","1118mm x 30m Matt White Digital Print Vinyl for Aqueous Inks",SALE_Digital_Print_Vinyl_SAV150M_1118,,45.0,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","Digital Print Media for Aqueous Inks","1520mm x 30m Gloss White Digital Print Vinyl for Aqueous Inks",SALE_Digital_Print_Vinyl_SAV150G_1520,,65.0,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","Digital Print Media for Aqueous Inks","610mm x 30m White Digital Print Self-Adhesive Fabric for Aqueous Inks",SALE_Digital_Print_Fabric_Digi-Fab_610,,36.5,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","Digital Print Media for Eco-Solvent, UV & Latex Inks","Digital Print Media for Eco-Solvent, UV & Latex Inks - 1370mm x 25m Print N Go Floor Graphic Vinyl for Eco-Solvent, UV & Latex Inks - R9 Slip Resistance",SALE_Digital_Print_Vinyl_DFP33_1370,,155.0,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","Digital Print Media for Eco-Solvent, UV & Latex Inks","Digital Print Media for Eco-Solvent, UV & Latex Inks - 1370mm x 50m Matt White Digital Print Film for Eco Solvent, UV & Latex Inks - PVC FREE",SALE_Digital_Print_Film_Enviroprint_1370,,95.0,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"DONE - SAGE CODE APPLIED","Doro 9050 White Gloss Vehicle Grade Magnetic Vinyl :: 630mm Wide",,9050,9050610,8.99,"SKU on the site changed from ""9050"" to your Sage code ""9050610"". No further action needed."
"DONE - SAGE CODE APPLIED","Doro 9052 White Matt Magnetic Vinyl","1000mm Wide",9052-1000mmWide,9.0521E7,11.47,"SKU on the site changed from ""9052-1000mmWide"" to your Sage code ""9.0521E7"". No further action needed."
"DONE - SAGE CODE APPLIED","Doro 9052 White Matt Magnetic Vinyl","1000mm wide matt",9052-Matt-1000mmWide,9052M1000,11.47,"SKU on the site changed from ""9052-Matt-1000mmWide"" to your Sage code ""9052M1000"". No further action needed."
"DONE - SAGE CODE APPLIED","Doro 9052 White Matt Magnetic Vinyl","1260mm x 10m",9052-1260mmx10m,9.052126E7,129.3,"SKU on the site changed from ""9052-1260mmx10m"" to your Sage code ""9.052126E7"". No further action needed."
"FYI - CODE ALREADY ON THE PRODUCT","Doro-Fix 3900","25mm x 50m",390025-25mmx50m,390025,4.66,"Sage code ""390025"" is already set on the main product record, and WooCommerce will not let an option carry the same SKU as its parent. So the code IS on the site, just at product level. Flagging in case you need it on this specific option instead."
"DONE - SAGE CODE APPLIED","Doro-Fix 3900","50mm x 50m",390025-50mmx50m,390050,9.32,"SKU on the site changed from ""390025-50mmx50m"" to your Sage code ""390050"". No further action needed."
"NO CHANGE NEEDED","Doro-Fix 420 :: 50mm x 50m",,42050,42050,9.32,"Website code already matches your Sage code."
"DONE - SAGE CODE APPLIED","Doro-Fix 4402 :: 50mm x 50m",,44250,440250,25.9,"SKU on the site changed from ""44250"" to your Sage code ""440250"". No further action needed."
"NOT APPLIED - CANNOT FIND PRODUCT","Doro-Fix 465 :: 25mm x 50m",,DF465_025,46525,12.73,"You gave Sage code ""46525"", but we could not find a live item on the site with the old code ""DF465_025"" (it may have been renamed or restructured since the export). Please confirm this product still exists."
"DONE - SAGE CODE APPLIED","Doro-Fix 465 :: 50mm x 50m",,46525,46550,25.46,"SKU on the site changed from ""46525"" to your Sage code ""46550"". No further action needed."
"PLEASE CONFIRM - DELETE FROM SITE?","Easy Dot PET Silver L-UV","1370mm x 10m roll",EASYDOTPETSILVER-sz01,,164.0,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","Easy Dot PET Silver L-UV","1370mm x 30m roll",EASYDOTPETSILVER-sz02,,442.8,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","Easy Dot PET Silver L-UV","Order a Free Sample which will be posted out to you",EASYDOTPETSILVER-sz03,,0.0,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CLARIFY - CONTRADICTS YOUR EMAIL","F-Sign Platinum 836 Permanent Blue","or 1220mm wide here — full 25 metre roll",P836-sz02,,135.5,"All rows red with no SKU entered, which elsewhere means ""delete"" - but your email said this one was already sorted by width like the 7901, and those codes are not in the sheet. Delete it, or send the codes per width?"
"PLEASE CLARIFY - CONTRADICTS YOUR EMAIL","F-Sign Platinum 836 Permanent Blue","or 1220mm wide here — full 25 metre roll (Airflow Adhesive)",P836-sz04,,152.0,"All rows red with no SKU entered, which elsewhere means ""delete"" - but your email said this one was already sorted by width like the 7901, and those codes are not in the sheet. Delete it, or send the codes per width?"
"PLEASE CLARIFY - CONTRADICTS YOUR EMAIL","F-Sign Platinum 836 Permanent Blue","or 1220mm wide here — part roll (Airflow Adhesive) - price per metre",P836-sz03,,6.76,"All rows red with no SKU entered, which elsewhere means ""delete"" - but your email said this one was already sorted by width like the 7901, and those codes are not in the sheet. Delete it, or send the codes per width?"
"PLEASE CLARIFY - CONTRADICTS YOUR EMAIL","F-Sign Platinum 836 Permanent Blue","Size / Format — full 25 metre roll",P836-sz06,,67.75,"All rows red with no SKU entered, which elsewhere means ""delete"" - but your email said this one was already sorted by width like the 7901, and those codes are not in the sheet. Delete it, or send the codes per width?"
"PLEASE CLARIFY - CONTRADICTS YOUR EMAIL","F-Sign Platinum 836 Permanent Blue","Size / Format — full 25 metre roll (Airflow Adhesive)",P836-sz08,,76.0,"All rows red with no SKU entered, which elsewhere means ""delete"" - but your email said this one was already sorted by width like the 7901, and those codes are not in the sheet. Delete it, or send the codes per width?"
"PLEASE CLARIFY - CONTRADICTS YOUR EMAIL","F-Sign Platinum 836 Permanent Blue","Size / Format — part roll - price per metre",P836-sz05,,3.01,"All rows red with no SKU entered, which elsewhere means ""delete"" - but your email said this one was already sorted by width like the 7901, and those codes are not in the sheet. Delete it, or send the codes per width?"
"PLEASE CLARIFY - CONTRADICTS YOUR EMAIL","F-Sign Platinum 836 Permanent Blue","Size / Format — part roll (Airflow Adhesive) - price per metre",P836-sz07,,3.38,"All rows red with no SKU entered, which elsewhere means ""delete"" - but your email said this one was already sorted by width like the 7901, and those codes are not in the sheet. Delete it, or send the codes per width?"
"DONE - SAGE CODE APPLIED","FF200 Printable Ferrous Film (Non adhesive) :: 1260mm Wide","1260mm x 25m Roll",FF200-sz01,FF200FERRO,190.0,"SKU on the site changed from ""FF200-sz01"" to your Sage code ""FF200FERRO"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","FF200 Printable Ferrous Film (Non adhesive) :: 1260mm Wide","1260mm x 50m Roll",FF200-sz02,"CLICKER IN 25'S WITH Q DISC FOR 50",361.0,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 25'S WITH Q DISC FOR 50""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","Floor Rack",,ROLL,FLOO,343.7,"SKU on the site changed from ""ROLL"" to your Sage code ""FLOO"". No further action needed."
"DONE - SAGE CODE APPLIED",Floorappeal,"HT - High Tac Removable",FLOORAPP-sz02,FLOORAPPHT,425.9,"SKU on the site changed from ""FLOORAPP-sz02"" to your Sage code ""FLOORAPPHT"". No further action needed."
"DONE - SAGE CODE APPLIED",Floorappeal,"HTX - Extreme Tac Removable",FLOORAPP-sz03,FLOORAPPHTX,552.25,"SKU on the site changed from ""FLOORAPP-sz03"" to your Sage code ""FLOORAPPHTX"". No further action needed."
"DONE - SAGE CODE APPLIED",Floorappeal,"LT - Low Tac Removable",FLOORAPP-sz01,FLOORAPPLT,425.9,"SKU on the site changed from ""FLOORAPP-sz01"" to your Sage code ""FLOORAPPLT"". No further action needed."
"CONFLICT - CODE USED ELSEWHERE","Gaffer Tape :: 50mm x 50m","Carton of 24 rolls",603-sz02,60350,84.24,"Sage code ""60350"" is already in use by a different item on the site (""Gaffer Tape :: 50mm x 50m - By the roll""). Please confirm which product should own this code."
"DONE - SAGE CODE APPLIED",GlassApeel,"Frosted 1370mm x 10m",GLASSAPP-sz05,GLASSAPPFROST,93.0,"SKU on the site changed from ""GLASSAPP-sz05"" to your Sage code ""GLASSAPPFROST"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE",GlassApeel,"Frosted 1370mm x 30m",GLASSAPP-sz06,"CLICKER IN 10'S WITH Q DISC FOR 30",251.1,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 10'S WITH Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED",GlassApeel,"Solar UV 1370mm x 10m",GLASSAPP-sz07,GLASSAPPSOLAR,127.5,"SKU on the site changed from ""GLASSAPP-sz07"" to your Sage code ""GLASSAPPSOLAR"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE",GlassApeel,"Solar UV 1370mm x 30m",GLASSAPP-sz08,"CLICKER IN 10'S WITH Q DISC FOR 30",344.25,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 10'S WITH Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED",GlassApeel,"Transparent 1370mm x 10m",GLASSAPP-sz01,GLASSAPPCLEAR,93.0,"SKU on the site changed from ""GLASSAPP-sz01"" to your Sage code ""GLASSAPPCLEAR"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE",GlassApeel,"Transparent 1370mm x 30m",GLASSAPP-sz02,"CLICKER IN 10'S WITH Q DISC FOR 30",251.1,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 10'S WITH Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED",GlassApeel,"White 1370mm x 10m",GLASSAPP-sz03,GLASSAPPWHITE,105.0,"SKU on the site changed from ""GLASSAPP-sz03"" to your Sage code ""GLASSAPPWHITE"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE",GlassApeel,"White 1370mm x 30m",GLASSAPP-sz04,"CLICKER IN 10'S WITH Q DISC FOR 30",283.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 10'S WITH Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz01,,3.54,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz02,,5.73,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz03,,7.98,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz04,,8.19,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz05,,40.95,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz06,,11.4,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz07,,57.0,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz08,,18.24,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz09,,91.2,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"FYI - CODE ALREADY ON THE PRODUCT","Gold Glitter","1220mm wide — per 30 metre roll",GL5-sz11,GL5,987.0,"Sage code ""GL5"" is already set on the main product record, and WooCommerce will not let an option carry the same SKU as its parent. So the code IS on the site, just at product level. Flagging in case you need it on this specific option instead."
"NEEDS DECISION - NOT A SAGE CODE","Gold Glitter","1220mm wide — per metre",GL5-sz10,"Q DISC FOR 30",34.64,"The SKU/Resolution box has an instruction rather than a code (""Q DISC FOR 30""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"PLEASE CONFIRM - DELETE FROM SITE?","Gold Nylo Flex Heat Transfer Vinyl","per 25 metre roll",4820-sz02,,181.5,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","Gold Nylo Flex Heat Transfer Vinyl","per metre",4820-sz01,,8.07,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"STILL NEEDS A SAGE CODE","Graphtec Plotter Cutting Blades",,G09V,,13.55,"Not marked red and no SKU/Resolution filled in - we still need the Sage code for this one."
"NEEDS DECISION - MULTIPLE CODES","Graphtec Smart Knives",,GSK-sz04,"GSK09V / GSK09F / GSK15F",25.0,"You listed more than one Sage code here (""GSK09V / GSK09F / GSK15F""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"CONFLICT - SAME CODE ON TWO LINES","Graphtec Smart Knives",,GSK-sz05,"NEW OR EXCHANGE",12.5,"You gave Sage code ""NEW OR EXCHANGE"" to more than one line in the sheet. SKUs must be unique, so please confirm which line should keep it."
"CONFLICT - CODE USED ELSEWHERE","Green Flock Heat Transfer Vinyl",,400,3820,11.56,"Sage code ""3820"" is already in use by a different item on the site (""Green Nylo Flex Heat Transfer Vinyl""). Please confirm which product should own this code."
"PLEASE CONFIRM - GLITTER CLEANUP","Green Glitter",,GL12-sz01,,3.54,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
"PLEASE CONFIRM - GLITTER CLEANUP","Green Glitter",,GL12-sz02,,5.73,"You marked these older duplicate option rows red but left the ""per metre"" / ""per 30 metre roll"" rows alone. We read that as ""keep the product, drop these old options"" - please confirm before we remove them."
